,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория",% масс. (Mo),CAS,COC (°C),SMILES для наиболее вероятной (средней) молекулы сульфокислоты,"Активный Азот / Кислород, % масс. (N или O)",Анилиновая точка,Атомное отношение P:Zn,Группа по API,Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Дипольный момент, Д",Длина углеродной цепи,"Индекс вязкости, ГОСТ 25371",Индекс полидисперсности,"Индекс стабильности, %","Испаряемость по NOACK, ASTM D5800",Категория,Кинематическая вязкость,"Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Класс полиамина,Класс субстрата,"Масса гидрофобного хвоста, г/моль",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Модификация,Номер CAS,Номер CAS / SMILES,Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,Отношение S:Mo,Отношение Мыло/Основание,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Потенциал ионизации,эВ",Происхождение,Разветвленность радикала / радикалов,"Размер мицелл, нм","Содержание MgCO3, CaCO3, % масс.",Содержание Азота,Содержание Бора,Содержание ароматики,"Содержание воды, % масс.","Содержание других элементов (например, бора)",Содержание масла,"Содержание масла, % масс.","Содержание металла (Ca/Mg), % масс.","Содержание мыла, % масс.",Содержание насыщ. у/в,Содержание полимера,"Содержание серы, % масс.","Содержание серы, мг/кг",Соотношение мономеров (EO:PO),Средневесовая масса,Степень полисульфидности,"Стерический фактор, Å3",Структура УВ-радикала,"Температура застывания, ГОСТ 20287, метод Б","Температура плавления, °C",Температура проведения теста | -,"Температура разложения, °C",Тип АО,Тип лиганда,Тип полимера,Тип спиртового радикала,Тип сукцинимида,"Химический потенциал, Дж/моль",Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362","Энергия ВЗМО, эВ","Энергия НСМО, эВ","Энергия диссоциации связи Х-Н, ккал/моль"
Анилиновая точка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Атомное отношение P:Zn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Группа по API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Деаэрация | ASTM D3427,0.030030626011098537,-0.0034433986650048353,0.018495945590066315,-0.002435890290217654,0.057101442937753565,,,,,,,,,1.0,-0.016520322382294162,-0.016529505146382545,-0.016520468038224295,-0.0036260477521097697,0.1478442529503728,0.11704436915344808,0.11396936547903753,0.10977279104193431,-0.017986533119760877,,,0.14713676554812163,,,-0.02096285637584873,,,-0.0010913070847100984,0.014726368166229018,0.10755981562542345,-0.008617418467940473,,,,-0.0028904756795339287,0.07019715927977292,-0.0026755742436470977,0.09362265121702219,-0.00267557630595245,-0.0028904756249521395,0.08403185811901245,-0.0028904756249521395,0.09117374292686252,,,,-0.0021838036408605545,-0.003456665128730962,,,0.20553135325337074,0.20553135325337074,-0.006109401042677423,-0.003456670846398766,-0.004897366189167553,,,,,,,,,,,,,,,,,,,,,,,,-0.14394557725434257,,1.0,,,,,,,,-0.004092957335203334,-0.001543621658018349,-0.03038147808032098,-0.009838794864438232,,,
Деэм.вода | ASTM D1401,0.027429504768289523,0.14468194360671452,-0.10553496264948657,-0.20846214699035945,-0.08117154034264167,,,,,,,,,-0.016520322382294162,1.0,0.9982929240608549,0.9963327726757488,0.21196827651815894,0.6738335055692929,0.5648162836078648,0.5480213332586215,0.4598264395808793,0.4424276797363239,,,0.6424325364418563,,,0.752749601197634,,,-0.005498767181535192,0.029178996213679188,0.48411472752192575,-0.04342057201402118,,,,-0.014564234969544796,0.2659521236409352,-0.013481411464157942,0.49101060685332804,-0.013481421855492469,-0.014564234694523625,0.34852447343448717,-0.014564234694523625,0.3289902186722714,,,,-0.011003527750826452,-0.017417092799752305,,,-0.075106438043004,-0.075106438043004,0.2649884849712303,0.21804264505296936,0.29991933312154406,,,,,,,,,,,,,,,,,,,,,,,,-0.616853266529187,,-0.016520322382294162,,,,,,,,-0.020623177275733092,-0.007777843865160141,-0.15308310276293938,-0.04957471921920284,,,
Деэм.время | ASTM D1401,0.03233084085438667,0.14476236456492858,-0.1055936238936597,-0.20857801995414746,-0.08121665926274554,,,,,,,,,-0.016529505146382545,0.9982929240608549,1.0,0.9989073744100885,0.2226688458209731,0.6767904451367778,0.5676408351889793,0.5494098251860912,0.45779478663166717,0.4374508010027132,,,0.6404279117650239,,,0.7524439343580623,,,-0.0055018236522647885,0.031606144136474536,0.4868572404652273,-0.04344470718887798,,,,-0.014572330449206647,0.2655794834255723,-0.013488905060117453,0.49327157103827146,-0.013488915457227968,-0.014572330174032607,0.3478636116969866,-0.014572330174032607,0.3280922217706622,,,,-0.011009644023689511,-0.017426774030577255,,,-0.07514818569696059,-0.07514818569696059,0.27475471898276405,0.20731319246849855,0.29945212677812416,,,,,,,,,,,,,,,,,,,,,,,,-0.6157901034794695,,-0.016529505146382545,,,,,,,,-0.020634640597531152,-0.007782167152785967,-0.15316819347642913,-0.04960227515550984,,,
Деэм.масло | ASTM D1401,0.03311017873936326,0.14468321923454924,-0.10553589312728176,-0.20846398495376084,-0.08117225601367613,,,,,,,,,-0.016520468038224295,0.9963327726757488,0.9989073744100885,1.0,0.219084131423435,0.67806576324149,0.5690048135355552,0.5512072637864429,0.45912798886532663,0.4368201886858799,,,0.6386992136219501,,,0.7511383631069062,,,-0.005498815662916479,0.032840848624359674,0.48809141669676137,-0.04342095484334238,,,,-0.014564363379096504,0.2650999471842371,-0.013481530326700748,0.49514649190580734,-0.013481540718126893,-0.014564363104072907,0.3471214314615937,-0.014564363104072907,0.3272013861792014,,,,-0.011003624766431366,-0.01741724636230352,,,-0.07510710023940906,-0.07510710023940906,0.2680655876310737,0.1998878796880521,0.29228608865445127,,,,,,,,,,,,,,,,,,,,,,,,-0.615781249165789,,-0.016520468038224295,,,,,,,,-0.020623359105602923,-0.007777912440642894,-0.1530844524618862,-0.049575156308242135,,,
Деэм.эмульсия | ASTM D1401,0.06702320314292204,0.03175625900304892,-0.02316388295753206,-0.04575538430802698,-0.017816352162121043,,,,,,,,,-0.0036260477521097697,0.21196827651815894,0.2226688458209731,0.219084131423435,1.0,0.16398759525264006,0.14000168633929772,0.14137099378519363,0.008092872996011588,-0.019892108536082843,,,0.1250728299002142,,,0.034437257155344785,,,-0.001206925138419228,0.028895605410505506,0.1251896943081092,-0.009530387113722753,,,,-0.0031967058662920986,0.057413538536142734,-0.0029590367913927035,0.12171455764678984,-0.002959039072188098,-0.003196705805927665,0.08410343603007579,-0.003196705805927665,0.08289816194772126,,,,-0.002415165766312421,-0.0038228800100484957,,,-0.016485122053470892,-0.016485122053470892,-0.006756658874848953,-0.0038228863334721246,-0.005416215516754266,,,,,,,,,,,,,,,,,,,,,,,,-0.1370671416891081,,-0.0036260477521097697,,,,,,,,-0.00452658391716255,-0.001707159982165444,-0.03360023054117064,-0.010881161700507947,,,
"Динамическая вязкость CCS -15°C, ASTM D5293",0.1616116747492818,0.15645962543334616,-0.09947735230489184,-0.22942211033963944,-0.022206012348392253,,,,,,,,,0.1478442529503728,0.6738335055692929,0.6767904451367778,0.67806576324149,0.16398759525264006,1.0,0.8255942984652047,0.8080405892989054,0.6919777133006665,0.5248645492832815,,,0.8734231844629621,,,0.8337174319696701,,,-0.008192167157168284,0.029636049161360447,0.7049807113906471,-0.0646887879147149,,,,-0.021698072212883907,0.2272118924287506,-0.020084861312151894,0.46146746021382185,-0.02008487679335825,-0.021698071803152173,0.3084167501938097,-0.021698071803152173,0.30078751726205943,,,,-0.016393263376563518,-0.025948313666854933,,,0.09565821091641208,0.09503173214502017,0.2828252811855241,0.15473130879925107,0.21484382883163522,,,,,,,,,,,,,,,,,,,,,,,,-0.8555156195408035,,0.1478442529503728,,,,,,,,-0.030724798846193637,-0.011587578626662017,-0.228066096521265,-0.07385735260389904,,,
"Динамическая вязкость CCS -20°C, ASTM D5293",0.20594225960751097,0.0993309676222555,-0.06251823933227033,-0.1363181345502806,-0.016245928271116226,,,,,,,,,0.11704436915344808,0.5648162836078648,0.5676408351889793,0.5690048135355552,0.14000168633929772,0.8255942984652047,1.0,0.9850604323494585,0.8629270630320143,0.5390543292110376,,,0.7915177376712591,,,0.6854632127762511,,,-0.010335812242968116,-0.01031239820295292,0.8502287703663434,-0.08161590862152174,,,,-0.027375808638193395,0.09553083120913519,-0.025340468702083122,0.3305229374929365,-0.02534048823425808,-0.02737580812124712,0.1816191707013594,-0.02737580812124712,0.17319762224675173,,,,-0.020682890016645375,-0.032738211139598065,,,0.31262977311845525,0.3125572568069521,0.24155838531585125,0.13126142787346295,0.1804702295168543,,,,,,,,,,,,,,,,,,,,,,,,-0.7386601554271633,,0.11704436915344808,,,,,,,,-0.03876455960732509,-0.014619701324210744,-0.28774417164666943,-0.09318361242282833,,,
"Динамическая вязкость CCS -25°C, ASTM D5293",0.19888331651840463,0.09761294053794005,-0.06126325812015469,-0.1337642255293386,-0.015125111239628395,,,,,,,,,0.11396936547903753,0.5480213332586215,0.5494098251860912,0.5512072637864429,0.14137099378519363,0.8080405892989054,0.9850604323494585,1.0,0.8772633666804093,0.5475066282314898,,,0.7852436301952362,,,0.675471331796691,,,-0.01028512914083672,-0.015241583488416243,0.8403426365047056,-0.08121569358907225,,,,-0.027241567528494152,0.08990383477885588,-0.02521620816666571,0.31930807078283896,-0.02521622760306191,-0.0272415670140828,0.17370425712566984,-0.0272415670140828,0.16683409906479815,,,,-0.020581468570275818,-0.032577674738608745,,,0.3138226226337027,0.3137457585465253,0.22462407046667973,0.13237279605985197,0.1811905385162286,,,,,,,,,,,,,,,,,,,,,,,,-0.729296771980883,,0.11396936547903753,,,,,,,,-0.03857447216306126,-0.014548011572314412,-0.2863331778228213,-0.09272667353555204,,,
"Динамическая вязкость CCS -30°C, ASTM D5293",0.17955703139606757,0.015298075329950369,-0.011394692845385699,-0.0330944688020271,0.017648978491235666,,,,,,,,,0.10977279104193431,0.4598264395808793,0.45779478663166717,0.45912798886532663,0.008092872996011588,0.6919777133006665,0.8629270630320143,0.8772633666804093,1.0,0.517479101233462,,,0.6988793408332167,,,0.6177047666140093,,,0.025341444314555334,-0.01230746924773105,0.8161976479658124,-0.0856710586258783,,,,-0.028735997018050026,0.037410181835236415,-0.026599529631542076,0.2558612540431524,-0.02659955013418836,-0.028735996475418878,0.11758686794810928,-0.028735996475418878,0.11108610838504504,,,,-0.021710535520539073,-0.03436483466542327,,,0.2581908106197672,0.25813595085856794,0.14885121700453446,0.1272699761091405,0.1132920659577354,,,,,,,,,,,,,,,,,,,,,,,,-0.6436287726543688,,0.10977279104193431,,,,,,,,-0.0406906069517159,0.04394157321412511,-0.30204096498775196,-0.09781351280260245,,,
"Динамическая вязкость CCS -35°C, ASTM D5293",0.08388206700509133,0.12734114356973503,-0.07554552938286051,-0.14525449928098064,-0.025361080053959716,,,,,,,,,-0.017986533119760877,0.4424276797363239,0.4374508010027132,0.4368201886858799,-0.019892108536082843,0.5248645492832815,0.5390543292110376,0.5475066282314898,0.517479101233462,1.0,,,0.5350925839865519,,,0.5208973444600994,,,0.0563675916684764,-0.044303824357433325,0.44651718364307236,-0.04727423221753736,,,,-0.015856839145249102,0.024368021584265834,-0.014677912948059993,0.1662861623181246,-0.014677924261645667,-0.01585683884581927,0.10331683781388996,-0.01585683884581927,0.08597176351802374,,,,-0.011980112236584791,-0.018962893655661794,,,0.1682148435290093,0.16818603253038372,0.09738696268679872,0.2088980288732962,0.13513490132745662,,,,,,,,,,,,,,,,,,,,,,,,-0.48394719051297747,,-0.017986533119760877,,,,,,,,-0.02245352436355792,-0.008468142633279807,-0.16666952582428968,-0.05397457195476421,,,
"Дипольный момент, Д",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Длина углеродной цепи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Индекс вязкости, ГОСТ 25371",0.09770886356379935,0.15316961466879642,-0.09565343277232703,-0.2162416757008361,-0.03507394429133415,,,,,,,,,0.14713676554812163,0.6424325364418563,0.6404279117650239,0.6386992136219501,0.1250728299002142,0.8734231844629621,0.7915177376712591,0.7852436301952362,0.6988793408332167,0.5350925839865519,,,1.0,,,0.7114540108032785,,,0.040565699090461656,0.027801915968469443,0.7025705230857704,-0.0646031141837892,,,,-0.02166933531951648,0.21239837352660315,-0.020058260952812868,0.4356092875854381,-0.020058276413515933,-0.021669334910327395,0.291730138169066,-0.021669334910327395,0.28682838122821064,,,,-0.016371552163835748,-0.025913947760262266,,,0.17913935961203414,0.17918528583488258,0.206177292834721,0.11955227619130833,0.1744987135443894,,,,,,,,,,,,,,,,,,,,,,,,-0.8910447192842036,,0.14713676554812163,,,,,,,,-0.030684106969997633,0.06241504789141399,-0.2277640461348457,-0.07375953604004234,,,
Индекс полидисперсности,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Индекс стабильности, %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Испаряемость по NOACK, ASTM D5800",0.1011842518094347,0.14327211787920868,-0.10090447003709832,-0.21631230196344634,-0.04739879812795744,,,,,,,,,-0.02096285637584873,0.752749601197634,0.7524439343580623,0.7511383631069062,0.034437257155344785,0.8337174319696701,0.6854632127762511,0.675471331796691,0.6177047666140093,0.5208973444600994,,,0.7114540108032785,,,1.0,,,-0.006977458672010812,0.004282089476530016,0.5795077703977372,-0.05509694023057686,,,,-0.01848075109102582,0.27611639007140526,-0.01710674197071073,0.5071335079192197,-0.017106755156413057,-0.018480750742047806,0.35100492048044823,-0.018480750742047806,0.34325602254909016,,,,-0.01396252243330668,-0.022100780263062503,,,-0.09530355626016734,-0.09530355626016734,0.2786436070287468,0.18045621073170545,0.23881727062996957,,,,,,,,,,,,,,,,,,,,,,,,-0.7142983135800771,,-0.02096285637584873,,,,,,,,-0.02616902341495493,-0.00986940933028488,-0.1942491812525483,-0.0629060193146703,,,
Категория,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кинематическая вязкость,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Кинематическая вязкость, при -30⁰С | ASTM D445",-0.023524357215096266,0.009557466642228328,-0.006971477296801191,-0.013770688769867999,-0.005362067095476073,,,,,,,,,-0.0010913070847100984,-0.005498767181535192,-0.0055018236522647885,-0.005498815662916479,-0.001206925138419228,-0.008192167157168284,-0.010335812242968116,-0.01028512914083672,0.025341444314555334,0.0563675916684764,,,0.040565699090461656,,,-0.006977458672010812,,,1.0,-0.007859756076218059,0.022415550933675366,-0.0028682961969223996,,,,-0.000962090959113572,-0.012913390217708973,-0.000890561303966782,-0.009938656053744275,-0.0008905619904023566,-0.0009620909409460963,-0.011259001027939875,-0.0009620909409460963,-0.011408899104638007,,,,-0.0007268761173904833,-0.0011505463590586052,,,-0.004961415767014107,-0.004961415767014107,-0.0020335059555687857,-0.001150548262176677,-0.0016300817776907655,,,,,,,,,,,,,,,,,,,,,,,,-0.05299309276749915,,-0.0010913070847100984,,,,,,,,-0.0013623353678836872,-0.0005137924017097488,-0.010112434293270748,-0.0032748296948740866,,,
"Кинематическая вязкость, при 100°C, ASTM D445",0.05976407728399329,0.13904265520515952,-0.09784072285057996,-0.17862406437977355,-0.018160280814782204,,,,,,,,,0.014726368166229018,0.029178996213679188,0.031606144136474536,0.032840848624359674,0.028895605410505506,0.029636049161360447,-0.01031239820295292,-0.015241583488416243,-0.01230746924773105,-0.044303824357433325,,,0.027801915968469443,,,0.004282089476530016,,,-0.007859756076218059,1.0,0.08085764477283476,0.1808209786580044,,,,0.031092246955227196,0.36773684425051156,0.025752445033264328,0.31037720151321346,0.04579223239629652,0.031077548113531545,0.3618638829197242,0.031081128629841494,0.36839595381047585,,,,0.05168104092934251,0.05811792937489683,,,0.007015555999070515,0.006967910230826817,0.04655870952310758,0.009408392368742947,0.01462304013754787,,,,,,,,,,,,,,,,,,,,,,,,-0.022294089666326813,,0.014726368166229018,,,,,,,,0.1058103841187875,-0.00534257297997346,0.37497736850068464,0.16130310242634788,,,
