,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория",Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Индекс вязкости, ГОСТ 25371","Испаряемость по NOACK, ASTM D5800","Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Температура застывания, ГОСТ 20287, метод Б",Температура проведения теста | -,Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362"
"Динамическая вязкость CCS -15°C, ASTM D5293",0.12643260732633432,0.10923867783649209,-0.07430746602911219,-0.14964851499092927,-0.011697205081831247,0.07827730874092446,0.4640445020756234,0.44160384553934634,0.4761268365969525,0.3240632357544239,1.0,0.9680546700080497,0.886247138140872,0.5993292305209014,0.3077051683432794,0.5192081198086144,0.09614909304060286,-0.004910987296158979,-0.11421112176355284,0.005019078778230485,-0.03540657677031529,-0.004929025406105893,-0.07888061153809053,-0.01202560608995708,-0.05040150532141218,-0.012040351824460978,-0.0120380780452694,-0.06735067369178444,-0.012034359997623723,-0.0648643311565194,-0.007268903465088238,-0.015533861802719968,0.028203781567274953,0.028197516799692752,0.13888907006618462,0.0796396224035042,0.08995737156688623,-0.4195197495363417,0.07827730874092449,-0.017112666403652926,-0.0069464465674368165,-0.09686857736766025,-0.02647578291595768
"Динамическая вязкость CCS -20°C, ASTM D5293",0.12489457298480591,0.10906882754993663,-0.07535172758265367,-0.14162350779489383,-0.010034363322141783,0.05828651511566797,0.417913404529688,0.4101567501991649,0.4298481077417735,0.3211877833311717,0.9680546700080497,1.0,0.9168900792373356,0.64168740452643,0.30368424912679,0.4813083243993387,0.07446608494208601,-0.005170041253492771,-0.12019798899179257,0.005168275390767086,-0.037274269206654435,-0.0051890308714527735,-0.0830433648248136,-0.012659955286783027,-0.05326986947817323,-0.012675478856912755,-0.012673085136157083,-0.0709060017495515,-0.012669170961969367,-0.068286615683006,-0.007652337201433097,-0.01635327104367208,0.02210118762412809,0.02209811649165023,0.12449435610046883,0.06582088523594012,0.07535177794512062,-0.37665507745470744,0.058286515115667965,-0.018015357387167936,-0.007312870743306668,-0.10197838254431221,-0.027872377108586432
"Динамическая вязкость CCS -25°C, ASTM D5293",0.10580258811311445,0.10620803575637029,-0.07355276022924384,-0.1361871625758644,-0.005337779211771163,0.05459641657446565,0.39831618894321014,0.3913694026756395,0.41033046390581174,0.34867390032176654,0.886247138140872,0.9168900792373356,1.0,0.7106198774929231,0.32739320977319525,0.4624026960522715,0.07623359350909303,-0.004960042208866914,-0.11544975820716669,0.0041929262424803436,-0.03576024629296139,-0.0049782604980436705,-0.0796704329661977,-0.012145727568883269,-0.051205072584825005,-0.0121606205957086,-0.012158324104171671,-0.06802694273622274,-0.012154568917659175,-0.06551262465058633,-0.007341511151375898,-0.015689026576887758,0.023048036302556127,0.023045128439467266,0.1389307610708378,0.0759709629687061,0.08620084259074366,-0.353795822625643,0.05459641657446567,-0.017283601554979416,-0.0070158332934546815,-0.09783617905757472,-0.026740244447110904
"Динамическая вязкость CCS -30°C, ASTM D5293",0.0751671506649458,0.04956228994434798,-0.03950770623002884,-0.061484465032648136,0.01489278911537971,0.06324481545753753,0.3122292658551048,0.2429522284728586,0.3201962408204924,0.014644206068043977,0.5993292305209014,0.64168740452643,0.7106198774929231,1.0,0.4186548147807526,0.427865762897576,0.09036874042248938,-0.00491610199527754,-0.12774484487246815,-0.0021567227275278776,-0.03930968256432324,-0.005472385125577974,-0.08757784957738322,-0.013351269768506388,-0.057024380689235606,-0.013367641024792603,-0.01336511659158285,-0.07477905518627373,-0.013360988678464912,-0.07201549490675813,-0.008070203726752018,-0.017246264173579846,-0.02064543498298947,-0.020650350818837676,0.1364289539005402,0.10724993936372684,0.10702974626542605,-0.32398869858821727,0.06324481545753752,-0.01899911105556937,0.004011755624013215,-0.10754705408213457,-0.02939438706033846
"Динамическая вязкость CCS -35°C, ASTM D5293",0.04152437926067043,0.07470448564016534,-0.050687728367759345,-0.05405152875865174,0.07264232360990797,-0.009295362148646175,0.32508506549509714,0.19396758576819786,0.33287025879249554,-0.01028015524236413,0.3077051683432794,0.30368424912679,0.32739320977319525,0.4186548147807526,1.0,0.3126632554325161,0.1015228561265858,-0.001975466533259969,-0.07383036531342822,-0.005646564087959794,-0.02230633692022212,-0.003105312951042264,-0.04969923996069129,-0.007576197576303238,-0.032668377037505636,-0.007585487469650327,-0.007584054976329726,-0.042434951953695836,-0.007581712585987707,-0.04086679933032802,-0.004579448919466529,-0.009786417853706453,0.019727754286914347,0.019730743677430163,0.2593895260941992,0.26271906337246054,0.2611518359679204,-0.19497340758712964,-0.009295362148646177,-0.010781073383046819,-0.004376299311191127,-0.061027733287032405,-0.016679887970563426
"Индекс вязкости, ГОСТ 25371",0.1059694978801655,0.1515508080031705,-0.09472278548767869,-0.21432570478798937,-0.03564223464094275,0.14434431452086952,0.635319402465964,0.45877438582022123,0.6327202112242244,0.12147062443738876,0.5192081198086144,0.4813083243993387,0.4624026960522715,0.427865762897576,0.3126632554325161,1.0,0.22573836259998392,0.038916662143657674,-0.19613127523931162,-0.02214043831294479,-0.05886960883180204,-0.008195364365830026,-0.1311506976236403,-0.019994667405255937,-0.08650372077968041,-0.020019184760543044,-0.020015404206087287,-0.11198206458326833,-0.020009222303444065,-0.1078482986630993,-0.012085819716540318,-0.02582775437189648,0.1854261365555664,0.185430819642943,0.13215086900130618,0.11717998955320845,0.12701950887352045,-0.7906250066605227,0.1443443145208699,-0.028452792366439338,0.06456020539138588,-0.16106090387445593,-0.0440206065073447
"Испаряемость по NOACK, ASTM D5800",0.16157128657522019,0.09324508854443822,-0.06484384866642483,-0.13144369276980794,-0.003877775827024372,-0.013192852491307337,0.2620474044540393,0.18522507341517278,0.2611687895357693,0.009513149150405282,0.09614909304060286,0.07446608494208601,0.07623359350909303,0.09036874042248938,0.1015228561265858,0.22573836259998392,1.0,-0.004391223284346175,-0.10951670000587953,-0.023820898824977857,-0.031659251990817164,-0.004407352295403973,-0.07053447315878786,-0.010752852387115057,-0.046754995472015136,-0.01076603747776862,-0.010764004348475695,-0.060226843475902125,-0.010760679807724584,-0.058000733884035746,-0.006499584752036539,-0.013889804947626474,-0.05999212073976526,-0.0599917249457612,0.07446565943006865,0.07199491150676872,0.07565460464881373,-0.2927534043976548,-0.013192852491307343,-0.01530151365444238,-0.006211255715170094,-0.08661630071636629,-0.023673666291659814
"Кинематическая вязкость, при -30⁰С | ASTM D445",-0.02143389632496739,0.009502625820776874,-0.006971477296801096,-0.013827030920798691,-0.005362067095476217,-0.0010913070847100958,-0.0055018459278946535,-0.0040640277537823365,-0.0055024371484245,-0.0012069251384192285,-0.004910987296158979,-0.005170041253492771,-0.004960042208866914,-0.00491610199527754,-0.001975466533259969,0.038916662143657674,-0.004391223284346175,1.0,-0.009228740463973997,-0.0025496426884345415,-0.002618839710135904,-0.0003645742865659111,-0.005835173774393244,-0.0008894713253735223,-0.003920832758210979,-0.0008905619904023591,-0.0008903938108215553,-0.004982639712851322,-0.0008901188062402859,-0.004798017110952946,-0.000537642855648145,-0.0011489586921837938,-0.004962522428961208,-0.0049624896890514,-0.0013067859750885587,-0.0011505482621766833,-0.001234207186505281,-0.1213060756802776,-0.0010913070847100971,-0.0012657346293293143,-0.0005137924017097486,-0.007164863147331661,-0.0019582754951723786
"Кинематическая вязкость, при 100°C, ASTM D445",-0.06912009487710112,0.10698548637015202,-0.07041326836534843,-0.1330156987518128,-0.009496054751461772,-0.02575215791056969,-0.13187474848436054,-0.09691647802219522,-0.13181904692403526,-0.02769173325014907,-0.11421112176355284,-0.12019798899179257,-0.11544975820716669,-0.12774484487246815,-0.07383036531342822,-0.19613127523931162,-0.10951670000587953,-0.009228740463973997,1.0,0.23200029831593894,0.11624226606288042,0.0008367091367289948,0.002817697055669706,-0.020042733234783013,-0.07725479934446651,-0.015601459966844441,-0.020059563602604098,-0.10788910570255428,-0.020043116450957587,-0.10293076087036397,0.023693802381924686,-0.019797687529345024,0.02040482491146556,0.020473731812231336,-0.031201595227818162,-0.02769593413669487,-0.029693577902798987,0.18078007865938273,-0.025752157910569746,0.15839694671190802,-0.012551825904360912,0.03399511206126635,0.010740076699841781
"Кинематическая вязкость, при 40°C, ASTM D445",-0.051685531209627135,0.06959127400726983,-0.050713432608733094,-0.09740717043811868,-0.03025072130615507,-0.001647611226014043,-0.012946582746209261,-0.006994407176667042,-0.01259839086477777,0.003273892585177745,0.005019078778230485,0.005168275390767086,0.0041929262424803436,-0.0021567227275278776,-0.005646564087959794,-0.02214043831294479,-0.023820898824977857,-0.0025496426884345415,0.23200029831593894,1.0,-0.02140919852835202,-0.0029804203935096247,-0.04770222269633924,-0.00727149054464658,-0.031940912091969316,-0.007280406807845039,-0.0072790319279621915,-0.04073246321195689,-0.00727678374619919,-0.03922382998489051,-0.004395268098834451,-0.009392817989827244,-0.029736641786714545,-0.029736970180491054,-0.0023080628518903036,-0.0031446687939339552,-0.0032883980567526634,0.024144708569000826,-0.0016476112260140436,-0.010347469476134926,-0.002303490767095866,-0.05857325935451633,-0.016009039685432477
"Кислотное число, ГОСТ 11362",-0.004615962383668546,0.06589928638450282,-0.04867685927784582,-0.07823428705553362,0.003960196874671822,-0.007867959280814681,-0.039666469994090216,-0.029300281589718053,-0.03967073249647851,-0.008701526799486162,-0.03540657677031529,-0.037274269206654435,-0.03576024629296139,-0.03930968256432324,-0.02230633692022212,-0.05886960883180204,-0.031659251990817164,-0.002618839710135904,0.11624226606288042,-0.02140919852835202,1.0,-0.0026284587369783726,0.3676974559009067,-0.006412790925251174,-0.028267893538584724,-0.0064206542555236565,-0.006419441736964835,-0.035923166742840976,-0.006417459045861895,-0.034592099498426856,0.037531456329718604,-0.0082836080990362,-0.03577812785075834,-0.035777891806952886,-0.009421490050591761,-0.008295068367326654,-0.008898221246398242,0.05389519502111952,-0.007867959280814699,0.11484456907662247,-0.003704271466832955,0.4798198013053341,-0.004730139265117418
Массовая доля кальция | ASTM D6481,-0.028452781297728463,0.00953752906914646,-0.006997083609012696,-0.013877817756306046,-0.005381762026449803,-0.0010953154675448962,-0.005522054268045707,-0.00407895497208471,-0.005522647660135023,-0.001211358187627383,-0.004929025406105893,-0.0051890308714527735,-0.0049782604980436705,-0.005472385125577974,-0.003105312951042264,-0.008195364365830026,-0.004407352295403973,-0.0003645742865659111,0.0008367091367289948,-0.0029804203935096247,-0.0026284587369783726,1.0,-0.005856606431363088,0.0006478568171727429,-0.0039352340197315126,-0.0008938330343144379,0.0006311711943421058,-0.0050009410029069005,0.0006233207496434243,-0.004815640280176419,-0.0005396176237258264,-0.0011531788300021648,-0.004980749828013452,-0.004980716967849593,-0.0013115858142398761,-0.0011547742385029883,-0.0012387404429738645,0.007502865562220901,-0.0010953154675448964,-0.0012703836864395406,-0.0005156795668097631,0.021428755239767987,-0.00196546826244259
"Массовая доля кальция, ASTM D6481",-0.02644676599454317,0.0372583788170865,-0.032240084245730875,-0.056968977277701886,-0.05723229865267031,-0.017520100187231023,-0.08836482057167262,-0.06526925073922073,-0.08837480668649568,-0.01938522956771374,-0.07888061153809053,-0.0830433648248136,-0.0796704329661977,-0.08757784957738322,-0.04969923996069129,-0.1311506976236403,-0.07053447315878786,-0.005835173774393244,0.002817697055669706,-0.04770222269633924,0.3676974559009067,-0.005856606431363088,1.0,-0.0142886749742123,-0.04330401452023301,-0.01099324794088419,-0.014303493995758369,-0.07037621355952102,-0.014299076257978539,-0.07455244852173033,-0.00863682031946062,0.09174597768469293,-0.07971663882203905,-0.07971611406159874,-0.020991791231986513,-0.018482168299290478,-0.01982579748310877,0.12006925745849138,-0.01752010018723102,-0.02033305650915364,-0.008253681060676721,0.9363734224764576,0.12458498212492537
Массовая доля серы | ASTM D6481,0.01885765263398982,0.023269218193719812,-0.017071157952695367,-0.03385845192009195,-0.013130171761704295,-0.0026722995464002414,-0.0134724502236533,-0.009951643927864342,-0.013473897953972275,-0.002955415157772536,-0.01202560608995708,-0.012659955286783027,-0.012145727568883269,-0.013351269768506388,-0.007576197576303238,-0.019994667405255937,-0.010752852387115057,-0.0008894713253735223,-0.020042733234783013,-0.00727149054464658,-0.006412790925251174,0.0006478568171727429,-0.0142886749742123,1.0,-0.009601000257468194,-0.0021807321113705824,0.9995218346289533,-0.012201062405881561,0.9980623692742681,-0.011748974352738068,-0.001316533888035327,-0.0028134718769566255,-0.012151800919937162,-0.012151720749243406,-0.0031999458423740057,-0.002817364280140375,-0.0030222211061134486,0.018305141151312494,-0.002672299546400252,-0.003099422814356943,-0.001258130934243493,-0.015894650517449548,-0.004795257715078476
"Массовая доля серы, ASTM D6481",0.08414358523450115,-0.053982576436264834,0.026351864872095045,0.04402137350500466,-0.03406609375318072,-0.011760195123074607,-0.05715657453660984,-0.042181868735646076,-0.05709721144908591,-0.012214862949621881,-0.05040150532141218,-0.05326986947817323,-0.051205072584825005,-0.057024380689235606,-0.032668377037505636,-0.08650372077968041,-0.046754995472015136,-0.003920832758210979,-0.07725479934446651,-0.031940912091969316,-0.028267893538584724,-0.0039352340197315126,-0.04330401452023301,-0.009601000257468194,1.0,-0.009612772953140178,-0.009610957613901603,0.7814018432831401,-0.009607989199990674,0.7680032974009156,-0.005803345254931153,-0.005622079482683854,-0.053561312207846976,-0.05356096091482804,-0.01330976735227366,-0.011860552283886718,-0.012723608597861591,0.07926367339547788,-0.011760195123074624,-0.01366240614555382,-0.005545039165779348,-0.05950946672341017,0.005606743959069577
"Массовая доля сульфатной золы, ГОСТ 12417",0.018195224509379895,0.0034136533319520787,0.007047200397438048,0.0039039322871547446,-0.013146271908785595,-0.002675576305952452,-0.013488970070771992,-0.009963846580948095,-0.013490419576290054,-0.0029590390721880946,-0.012040351824460978,-0.012675478856912755,-0.0121606205957086,-0.013367641024792603,-0.007585487469650327,-0.020019184760543044,-0.01076603747776862,-0.0008905619904023591,-0.015601459966844441,-0.007280406807845039,-0.0064206542555236565,-0.0008938330343144379,-0.01099324794088419,-0.0021807321113705824,-0.009612772953140178,1.0,-0.002182993784772981,-0.0021670504142696956,-0.002182319551322114,-0.011175143616259584,-0.001318148214916914,-0.0028169217412729497,-0.01216670139387335,-0.012166621124874683,-0.003203869599020079,-0.002820818917300859,-0.003025926937629088,0.018327586818454228,-0.002675576305952455,-0.0031032233101983895,-0.001259673647732425,-0.013586618835178614,0.008812443522183125
Массовая доля фосфора | ASTM D6481,0.01848707088487309,0.023293351085425743,-0.017088862733437765,-0.033893567081534744,-0.013143789280375004,-0.0026750710325336557,-0.01348642272498761,-0.009961964942657688,-0.013487871956771605,-0.0029584802677970526,-0.0120380780452694,-0.012673085136157083,-0.012158324104171671,-0.01336511659158285,-0.007584054976329726,-0.020015404206087287,-0.010764004348475695,-0.0008903938108215553,-0.020059563602604098,-0.0072790319279621915,-0.006419441736964835,0.0006311711943421058,-0.014303493995758369,0.9995218346289533,-0.009610957613901603,-0.002182993784772981,1.0,-0.012213716329846068,0.9991404744598357,-0.011761159408692653,-0.0013178992871425309,-0.002816389775252959,-0.01216440375399848,-0.012164323500158374,-0.003203264559222818,-0.002820286215312498,-0.0030253555016937963,0.01832412571647432,-0.00267507103253366,-0.0031026372771079704,-0.0012594357626797184,-0.01587129295928112,-0.0048002309563011025
"Массовая доля фосфора, ASTM D6481",0.15398411299354292,-0.010591924423205418,0.0059153878423122965,0.00867683716691669,-0.0352612909500903,-0.0149654095757819,-0.07543923629572057,-0.05571534607097998,-0.07544856483964754,-0.016553550004607998,-0.06735067369178444,-0.0709060017495515,-0.06802694273622274,-0.07477905518627373,-0.042434951953695836,-0.11198206458326833,-0.060226843475902125,-0.004982639712851322,-0.10788910570255428,-0.04073246321195689,-0.035923166742840976,-0.0050009410029069005,-0.07037621355952102,-0.012201062405881561,0.7814018432831401,-0.0021670504142696956,-0.012213716329846068,1.0,-0.012209944035043238,0.9907498207162331,-0.007374958412610593,-0.01576050436390125,-0.06807097634474658,-0.06807052770744779,-0.017924286285684262,-0.015781407253878724,-0.01692879452081256,0.10252096152818807,-0.014965409575781874,-0.01736234408146546,-0.007047796795805461,-0.09170099500479938,0.040207776241407554
