,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория",Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Индекс вязкости, ГОСТ 25371","Испаряемость по NOACK, ASTM D5800","Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Температура застывания, ГОСТ 20287, метод Б",Температура проведения теста | -,Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362"
Деэм.масло | ASTM D1401,0.04255188290924246,0.13799816042472843,-0.0995359192439365,-0.06731383788623521,0.07511418999870048,-0.19925902769076906,-0.07468966394311084,-0.017654629219262752,0.9960954352288127,0.9987999421889691,1.0,0.2028298694010805,0.6814452418859657,0.5748998690598495,0.5535357129283759,0.47089709709449057,0.4425550010467536,0.6413805855255343,0.756234121247312,,0.027422019935795936,0.49389151429049993,-0.04501121766704383,-0.0152824631658914,0.26537165494598475,-0.013947786121596896,0.49890543403715837,-0.013947797365839752,-0.0152824631658914,0.3476704601326292,-0.0152824631658914,0.3250487890689689,-0.01247248044591868,-0.0176546007157347,-0.0755222184671889,-0.0755222184671889,0.2466572562341935,0.19489520458343432,0.28520349941502054,-0.6134757533330394,-0.017654629219262752,-0.021641814967627817,-0.006232045286242157,-0.15631156334883334,-0.05137659474767961
Деэм.эмульсия | ASTM D1401,0.06865670930640146,0.028142367402035632,-0.02029865036201059,-0.022778545777495694,0.019306415638050946,-0.04063547476420681,-0.015231681040908593,-0.0036003600360036,0.19484323516610377,0.2088093715622509,0.2028298694010805,1.0,0.15249920393727925,0.13049261750572522,0.13242585507062504,0.023422917456905577,-0.018806466120698313,0.11655678809631602,0.05159281416382697,,0.023737319902006254,0.11619200072585259,-0.009179268918514914,-0.00311659729302829,0.056082469862978025,-0.002844412710074471,0.1143251251855549,-0.0028444150031457175,-0.00311659729302829,0.07832690814209545,-0.00311659729302829,0.0778807957099402,-0.0025435493201027533,-0.0036003542231959782,-0.015401466313601496,-0.015401466313601496,-0.00651695466374319,-0.0036003600360036,-0.005100831561474095,-0.12624335556680824,-0.0036003600360036,-0.004413478456461492,-0.0012709191743698293,-0.03187707308133917,-0.010477378834650062
"Динамическая вязкость CCS -15°C, ASTM D5293",0.16086828255016924,0.16296201313912884,-0.10716285236226197,-0.11200659548306846,0.032913894327442905,-0.22936212127398434,-0.028389061421528243,0.1539046424415486,0.6768448720974142,0.6800543054446068,0.6814452418859657,0.15249920393727925,1.0,0.8281626766955728,0.8074291110147892,0.7017689046046464,0.5179597445379392,0.8814245112506893,0.8448370002719249,,0.024585393971993122,0.7100037779804332,-0.06645252549046683,-0.022562337251144544,0.2383858364088201,-0.020591880442719656,0.4816531612244934,-0.020591897043211127,-0.022562337251144544,0.3206582292120891,-0.022562337251144544,0.3110692570014245,-0.01841380588485187,-0.026064453816039702,0.08042096876463463,0.07990727875017076,0.28591154879975067,0.15273648576267537,0.21167995222289532,-0.862529883648838,0.1539046424415486,-0.031950996559003034,-0.009200709727632424,-0.23077132071231232,-0.0758500802475133
"Динамическая вязкость CCS -20°C, ASTM D5293",0.20862418393420323,0.09990628299224046,-0.06516252627217947,-0.058811730439333146,0.05027456405047206,-0.13366708416850726,-0.018583021849372244,0.12243208616551607,0.5704080924854664,0.5734242553991,0.5748998690598495,0.13049261750572522,0.8281626766955728,1.0,0.9825218520347674,0.8705395033717941,0.5363569210065404,0.7990811175450416,0.698326945271805,,-0.01653683409777065,0.8530672463701067,-0.08348456359522743,-0.028345151146593597,0.10653384394949816,-0.025869658672523572,0.35050996830868375,-0.025869679527784916,-0.028345151146593597,0.19377222494888097,-0.028345151146593597,0.18342892777743428,-0.023133335220564693,-0.03274487366913086,0.29395056628798905,0.2938905988133119,0.24510317361845674,0.13009980408758637,0.1786199428102863,-0.7460771161503944,0.12243208616551607,-0.040140159978474324,-0.011558887050695308,-0.2899188986086843,-0.09529074781416777
"Динамическая вязкость CCS -25°C, ASTM D5293",0.1987678030258741,0.09754404137020072,-0.06343991115378758,-0.05950152870147555,0.045457902305161384,-0.13017104285869296,-0.017200097173928324,0.11905149861798191,0.5503942273659401,0.5515622798443813,0.5535357129283759,0.13242585507062504,0.8074291110147892,0.9825218520347674,1.0,0.8873937231221078,0.5443105646939091,0.7924313879045388,0.6869657182265473,,-0.022248327615358957,0.8417812128552388,-0.08288244768516577,-0.02814071734777522,0.10026645195278133,-0.025683078873770433,0.3371855139663066,-0.02568309957861733,-0.02814071734777522,0.18459848896202322,-0.02814071734777522,0.17624341422567014,-0.02296649061373862,-0.03250870774144229,0.29593844314145984,0.2958735815911446,0.22460268164375477,0.13155001225868204,0.17975749146578682,-0.7328180252616998,0.11905149861798191,-0.03985065701032512,-0.01147552086303008,-0.28782791586933365,-0.09460348213450546
"Динамическая вязкость CCS -30°C, ASTM D5293",0.18506448035288878,0.018908435750396736,-0.01478356339044881,-0.011432938906824055,0.03016698819792062,-0.03460516214151514,0.012931854963483242,0.11478455884640638,0.4716569646377509,0.4691899304807125,0.47089709709449057,0.023422917456905577,0.7017689046046464,0.8705395033717941,0.8873937231221078,1.0,0.5144325113596584,0.7121286242621813,0.631392293950584,,-0.01814485107981624,0.8236864025599874,-0.08707530033499344,-0.029564298390505315,0.05306629764800184,-0.026982333038182555,0.2799169494009805,-0.026982354790445095,-0.029564298390505315,0.13474795208751436,-0.029564298390505315,0.12674817252557946,-0.02412831816247173,-0.03415325643906207,0.2470924280702605,0.2470461974740488,0.14650684503783,0.12655733411270448,0.11245288265137315,-0.6567468265688108,0.11478455884640638,-0.04186661982886795,0.03434998496858363,-0.3023885384553279,-0.0993892778226024
"Динамическая вязкость CCS -35°C, ASTM D5293",0.08080680720738885,0.12425361286912652,-0.07477424301145802,-0.09092127774648538,0.008023348627990798,-0.1314900441575226,-0.020191226029047528,-0.018806466120698313,0.4483417417766106,0.44250989226100207,0.4425550010467536,-0.018806466120698313,0.5179597445379392,0.5363569210065404,0.5443105646939091,0.5144325113596584,1.0,0.5318096702851455,0.5261060155066077,,-0.047775661194113916,0.4449381979764555,-0.04794787415773247,-0.01627953338473786,0.033066574282571634,-0.014857778313936856,0.17912209408346322,-0.014857790291785258,-0.01627953338473786,0.11558427857135013,-0.01627953338473786,0.09726904854617274,-0.01328621961039616,-0.018806435757521157,0.1522823692558587,0.15225852772034307,0.09329768985988111,0.20799951529492333,0.1345965649893394,-0.47433449007788014,-0.018806466120698313,-0.02305378690904676,-0.006638641179192381,-0.16650976261714892,-0.05472854606682201
"Индекс вязкости, ГОСТ 25371",0.10657753658603063,0.15882660875420715,-0.10135936432295461,-0.11481878492182199,0.019858672344721814,-0.21198768774149174,-0.027547811214014627,0.15194904146170782,0.6453692556438485,0.6432617240422045,0.6413805855255343,0.11655678809631602,0.8814245112506893,0.7990811175450416,0.7924313879045388,0.7121286242621813,0.5318096702851455,1.0,0.7264290068251875,,0.02115717802722609,0.70901250856178,-0.06667150675136758,-0.022636687007209617,0.22135230942745718,-0.020659736944942605,0.4510561661070726,-0.02065975360013774,-0.022636687007209617,0.30216795180617867,-0.022636687007209617,0.2959868561951528,-0.018474484969670482,-0.02615034411018879,0.15942561679177278,0.15946449865547122,0.20506211685716175,0.11611062899806436,0.1696324396486321,-0.8925026631776504,0.15194904146170782,-0.03205628479992219,0.04805791905898603,-0.2315317823263192,-0.07610002930647583
"Испаряемость по NOACK, ASTM D5800",0.10582943557187459,0.14939421028221542,-0.10621485284699358,-0.10918728664308941,0.05083947725360301,-0.21547639219695897,-0.04414887990491885,-0.022532454904816823,0.7577475186959991,0.7574147099853279,0.756234121247312,0.05159281416382697,0.8448370002719249,0.698326945271805,0.6869657182265473,0.631392293950584,0.5261060155066077,0.7264290068251875,1.0,,0.00034923867132016995,0.5925281311402483,-0.05744743883870206,-0.019504879306343877,0.2828092053863526,-0.01780144221120244,0.5226271568167541,-0.017801456562135103,-0.019504879306343877,0.35982705944983256,-0.019504879306343877,0.3503687925743598,-0.015918521975654847,-0.02253241852600351,-0.09638837274854534,-0.09638837274854534,0.2750813053209576,0.1760297199062224,0.23209330467046607,-0.7250507087376731,-0.022532454904816823,-0.027621266567547157,-0.007953907025349108,-0.19949913467545966,-0.06557151611272875
"Кинематическая вязкость, при -30⁰С | ASTM D445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Кинематическая вязкость, при 100°C, ASTM D445",0.054175588626561556,0.13464041838375587,-0.08931441084719262,-0.0846579619704563,0.04248327899736331,-0.1705812100250187,-0.007930694707139242,0.014914494145532692,0.023529749934597867,0.026091660806765036,0.027422019935795936,0.023737319902006254,0.024585393971993122,-0.01653683409777065,-0.022248327615358957,-0.01814485107981624,-0.047775661194113916,0.02115717802722609,0.00034923867132016995,,1.0,0.07273545500164598,0.18384870941747408,0.031367584844278505,0.36431188101234896,0.02491019477231941,0.2932114775362844,0.045968676174999064,0.03134946664641825,0.3498017184145113,0.03135223231434129,0.3567769903732643,0.057258252422121875,0.05714328127064807,0.00913852733203553,0.009099229011474986,0.04679537390131317,0.0088821987427217,0.013474039780505171,-0.01514349771652038,0.014914494145532692,0.1088000567414762,-0.004677944691812823,0.38239803398043304,0.16149567978576962
"Кинематическая вязкость, при 40°C, ASTM D445",0.20415613847927339,0.08105755995157603,-0.05451473569128152,-0.03216348035615297,0.09288576094153407,-0.1162894598942927,-0.03083462735816061,0.11282091645292465,0.48966413589182517,0.4925910382154139,0.49389151429049993,0.11619200072585259,0.7100037779804332,0.8530672463701067,0.8417812128552388,0.8236864025599874,0.4449381979764555,0.70901250856178,0.5925281311402483,,0.07273545500164598,1.0,-0.09367870295908007,-0.031806322992431225,0.023972762640256835,-0.029028552897348636,0.26784197435939083,-0.029028576299205796,-0.031806322992431225,0.11416969851493852,-0.031806322992431225,0.10365992089224901,-0.025958102255732363,-0.03674328716331066,0.23853063348230308,0.23850686382507777,0.21707528858462288,0.11023003945713723,0.1528601400698868,-0.6830016826027213,0.11282091645292465,-0.045041597648938475,0.03103315465575786,-0.3253203372621954,-0.10692651760764962
"Кислотное число, ГОСТ 11362",0.013338058520806438,0.048495230020403006,-0.032334638635394555,-0.03303793065104849,0.050390762377978494,-0.0544458498337001,-0.0008968156479851376,-0.009179268918514914,-0.04501066838101553,-0.04503875885243269,-0.04501121766704383,-0.009179268918514914,-0.06645252549046683,-0.08348456359522743,-0.08288244768516577,-0.08707530033499344,-0.04794787415773247,-0.06667150675136758,-0.05744743883870206,,0.18384870941747408,-0.09367870295908007,1.0,-0.007945895515265543,0.19542929189177535,-0.007251949505027019,-0.08015814619826603,-0.007251955351308335,-0.007945895515265543,-0.09103334869926968,-0.007945895515265543,-0.09231845780508151,0.20322609902012082,-0.00917925409851808,-0.03926668433663708,-0.03926668433663708,-0.016615249250091623,-0.009179268918514914,-0.013004784005654992,0.06492621707941647,-0.009179268918514914,0.47215873437800276,-0.0032402617400972464,0.3223657016124676,0.1831133562752788
Массовая доля кальция | ASTM D6481,-0.004864755747214322,0.024361015339440382,-0.017571220138470248,-0.03894972294969023,-0.0052778050669973755,-0.03517548505832811,-0.013185074666326669,-0.00311659729302829,-0.015282276669192796,-0.015291814104903175,-0.0152824631658914,-0.00311659729302829,-0.022562337251144544,-0.028345151146593597,-0.02814071734777522,-0.029564298390505315,-0.01627953338473786,-0.022636687007209617,-0.019504879306343877,,0.031367584844278505,-0.031806322992431225,-0.007945895515265543,1.0,-0.035478004642398586,0.9122543229671357,-0.027215747100706966,-0.00246222489151197,0.9999974459954049,-0.03090815735435994,0.9999967738889324,-0.031344484865403935,-0.0022017850566176714,-0.0031165922612591563,-0.013332046723559627,-0.013332046723559627,-0.00564130338652326,-0.00311659729302829,-0.004415457809138823,0.022044116387976345,-0.00311659729302829,-0.0038204609740959826,-0.0011001519900480303,0.009189992442811917,-0.00906958476029191
"Массовая доля кальция, ASTM D6481",0.08435235692215062,0.08532239658907254,-0.06147756055443958,-0.07903384817793081,0.012955286959321815,-0.12888619194299908,-0.0269963841557933,0.0730480094660713,0.26646511286184776,0.2659916309832458,0.26537165494598475,0.056082469862978025,0.2383858364088201,0.10653384394949816,0.10026645195278133,0.05306629764800184,0.033066574282571634,0.22135230942745718,0.2828092053863526,,0.36431188101234896,0.023972762640256835,0.19542929189177535,-0.035478004642398586,1.0,-0.03237957228502399,0.5677552454805459,0.07757887450599366,-0.035478004642398586,0.6681253007555213,-0.035478004642398586,0.6879890381837688,-0.028954672709444632,0.10588686085266193,-0.14869363247103995,-0.14869363247103995,0.08460292223480081,0.04633808844756126,0.07544284820490794,-0.22214792356153432,0.0730480094660713,-0.050241142645452985,-0.014467597873254292,0.5982848352945652,0.10847318257723677
Массовая доля серы | ASTM D6481,0.011009988769333607,0.02223347296643962,-0.016036657031431107,-0.05293420259603848,-0.016221567620624815,-0.03210347291475842,-0.01203357073051275,-0.002844412710074471,-0.013947615912381518,-0.013956320406676243,-0.013947786121596896,-0.002844412710074471,-0.020591880442719656,-0.025869658672523572,-0.025683078873770433,-0.026982333038182555,-0.014857778313936856,-0.020659736944942605,-0.01780144221120244,,0.02491019477231941,-0.029028552897348636,-0.007251949505027019,0.9122543229671357,-0.03237957228502399,1.0,-0.024838889881792836,-0.0022471891996265077,0.9130756528084296,-0.02820882756344136,0.9130741806273195,-0.028607048893141213,-0.002009494590111131,-0.0028444081177493386,-0.012167707145427304,-0.012167707145427304,-0.005148626384906272,-0.002844412710074471,-0.004029838677331496,0.0201189178263692,-0.002844412710074471,-0.003486805233827002,-0.0010040714308859973,-0.007616399003386762,-0.008277502590719816
"Массовая доля серы, ASTM D6481",0.09429347980002176,0.04785375451839219,-0.03690080320852567,-0.021893776447913706,0.015222510326567426,-0.09249705066885318,-0.023561594307637,0.09792853777517242,0.4945203379504107,0.4968810301937094,0.49890543403715837,0.1143251251855549,0.4816531612244934,0.35050996830868375,0.3371855139663066,0.2799169494009805,0.17912209408346322,0.4510561661070726,0.5226271568167541,,0.2932114775362844,0.26784197435939083,-0.08015814619826603,-0.027215747100706966,0.5677552454805459,-0.024838889881792836,1.0,-0.02483890990608255,-0.027215747100706966,0.761720918023093,-0.027215747100706966,0.7313056130804645,-0.022211594417072905,0.12969125431236192,-0.10428220654747723,-0.10428220654747723,0.201345493082149,0.11455061852911616,0.15908313870999613,-0.4491603448875203,0.09792853777517242,-0.038540787343353505,0.031657521956789864,0.07182348306518802,0.04021227735655562
"Массовая доля сульфатной золы, ГОСТ 12417",0.01685337936280879,-0.0027033276764915634,0.015196320442116083,0.008976767017954405,-0.034066050586038434,-0.0008686302324030338,-0.012033580431578607,-0.0028444150031457175,-0.013947627156487159,-0.01395633165779916,-0.013947797365839752,-0.0028444150031457175,-0.020591897043211127,-0.025869679527784916,-0.02568309957861733,-0.026982354790445095,-0.014857790291785258,-0.02065975360013774,-0.017801456562135103,,0.045968676174999064,-0.029028576299205796,-0.007251955351308335,-0.00246222489151197,0.07757887450599366,-0.0022471891996265077,-0.02483890990608255,1.0,-0.00246222489151197,0.09058017761081376,-0.00246222489151197,0.08990124088214818,-0.002009496210099063,-0.002844410410816882,-0.012167716954629494,-0.012167716954629494,-0.005148630535558207,-0.0028444150031457175,-0.004029841926053864,0.020118934045573886,-0.0028444150031457175,-0.003486808044773808,-0.0010040722403351038,0.06243018479018435,0.2637515451773361
