,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория",% масс. (Mo),CAS,COC (°C),SMILES для наиболее вероятной (средней) молекулы сульфокислоты,"Активный Азот / Кислород, % масс. (N или O)",Анилиновая точка,Атомное отношение P:Zn,Группа по API,Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Дипольный момент, Д",Длина углеродной цепи,"Индекс вязкости, ГОСТ 25371",Индекс полидисперсности,"Индекс стабильности, %","Испаряемость по NOACK, ASTM D5800",Категория,Кинематическая вязкость,"Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Класс полиамина,Класс субстрата,"Масса гидрофобного хвоста, г/моль",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Модификация,Номер CAS,Номер CAS / SMILES,Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,Отношение S:Mo,Отношение Мыло/Основание,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Потенциал ионизации,эВ",Происхождение,Разветвленность радикала / радикалов,"Размер мицелл, нм","Содержание MgCO3, CaCO3, % масс.",Содержание Азота,Содержание Бора,Содержание ароматики,"Содержание воды, % масс.","Содержание других элементов (например, бора)",Содержание масла,"Содержание масла, % масс.","Содержание металла (Ca/Mg), % масс.","Содержание мыла, % масс.",Содержание насыщ. у/в,Содержание полимера,"Содержание серы, % масс.","Содержание серы, мг/кг",Соотношение мономеров (EO:PO),Средневесовая масса,Степень полисульфидности,"Стерический фактор, Å3",Структура УВ-радикала,"Температура застывания, ГОСТ 20287, метод Б","Температура плавления, °C",Температура проведения теста | -,"Температура разложения, °C",Тип АО,Тип лиганда,Тип полимера,Тип спиртового радикала,Тип сукцинимида,"Химический потенциал, Дж/моль",Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362","Энергия ВЗМО, эВ","Энергия НСМО, эВ","Энергия диссоциации связи Х-Н, ккал/моль"
SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Активный Азот / Кислород, % масс. (N или O)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Анилиновая точка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Атомное отношение P:Zn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Группа по API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Деаэрация | ASTM D3427,0.02336667742832424,0.008033111879938222,0.004409859631048168,-0.008261662784966128,-0.049795548693918626,-0.01081492849186579,0.047669520294695365,,,,,,,,,1.0,-0.017665258355684322,-0.012745726264286503,-0.017667451527395656,-0.003600360036003604,0.0822559587438765,0.06102898733132941,0.058808177122455986,0.06699887757869608,-0.009864743397252431,,,0.14862997449795584,,,-0.014174443708699169,,,,-0.02703253181811495,-0.0016373678551872652,-0.008389608440789694,,,,-0.0012755660511884943,-0.018602610337827435,-0.0028408493486751724,-0.01218443015699193,-0.002844415003145717,-0.002843847132110008,-0.01562308711720144,-0.002842754874665658,-0.015041662568401101,,,,-0.0018812222029423768,-0.003595386081982776,,,0.22656828630145925,0.22645209003790048,-0.0041036079356725165,-0.0036003600360036228,-0.003862137479805061,,,,,,,,,,,,,,,,,,,,,,,,-0.151728978582002,,1.0,,,,,,,,-0.004084242446292541,-0.0012709191743698342,-0.022672208620197094,-0.006388794297963217,,,
Деэм.вода | ASTM D1401,0.04553288123413321,0.13729296503163804,-0.099595845785092,-0.08081514470385813,0.061858729756690774,-0.199514342825068,-0.07473463156137519,,,,,,,,,-0.017665258355684322,1.0,0.7149031150523052,0.9987888726611823,0.19437108870820233,0.44741131592700767,0.39886037555674886,0.3738625992838413,0.3004638820567642,0.3261517873316629,,,0.6389432151774352,,,0.27309841314237576,,,,-0.13485046777679252,-0.013558741480286204,-0.04116382781931087,,,,-0.006258597367666798,-0.09131004116275333,-0.013938699794487608,-0.05770532159281154,-0.01395619476910104,-0.013953408495378851,-0.07664227562900654,-0.013948049306366679,-0.07381908262258918,,,,-0.00923026472550077,-0.01764085352340413,,,-0.07558195169585735,-0.07558143039092477,0.22570834117953215,0.20850684517912782,0.2232995025274377,,,,,,,,,,,,,,,,,,,,,,,,-0.5196025407983708,,-0.01766525835568434,,,,,,,,-0.02003943974478054,-0.006235797348022037,-0.11124176992429977,-0.03134678219018266,,,
Деэм.время | ASTM D1401,0.08357293861123356,0.09905875787785698,-0.07185976915126185,-0.05499592680452975,0.07609006408833134,-0.14395233560957546,-0.05392206200239839,,,,,,,,,-0.012745726264286503,0.7149031150523052,1.0,0.7211120830066811,0.3332154825075468,0.4277005776270094,0.3952933530600553,0.37423821675866376,0.21714761158702942,0.1792647395260822,,,0.4497507746367854,,,0.1877288630614869,,,,-0.09677919069282741,-0.007036453661245411,-0.029700266523774457,,,,-0.004515663866359278,-0.06587831824034263,-0.010056963135409722,-0.04160094350244341,-0.010069585999617678,-0.010067575664900583,-0.05528829606413545,-0.01006370893650224,-0.053261699144850384,,,,-0.006659762635188193,-0.012728117842971225,,,-0.0545334151043391,-0.05453303897567784,0.13269658871164358,0.10758860722156867,0.11801898458010047,,,,,,,,,,,,,,,,,,,,,,,,-0.3310430176554471,,-0.012745726264286515,,,,,,,,-0.014458730709389755,-0.004499213339377975,-0.08026246319537263,-0.02261713341620698,,,
Деэм.масло | ASTM D1401,0.04844875540533495,0.13731001018552272,-0.09960821077784494,-0.08095423687223381,0.06161371842004058,-0.19953911286827258,-0.07474390999232132,,,,,,,,,-0.017667451527395656,0.9987888726611823,0.7211120830066811,1.0,0.20285620331002552,0.4593797370696433,0.41062891409177676,0.3854320327096276,0.30756684086220226,0.33445275875601993,,,0.6363140103979329,,,0.2722759770212196,,,,-0.13479873365985118,-0.013210132856905372,-0.04116893837817675,,,,-0.006259374383118423,-0.09132195112644703,-0.013940430307649016,-0.05764636506580377,-0.013957927454292997,-0.01395514083465028,-0.07665320379459858,-0.013949780980285655,-0.07382835865926897,,,,-0.009231410678482462,-0.017643043665214218,,,-0.075591335323032,-0.07559081395337826,0.2187604509710881,0.19946353169714243,0.21431916929771788,,,,,,,,,,,,,,,,,,,,,,,,-0.5176474685890846,,-0.01766745152739567,,,,,,,,-0.020041927675128097,-0.006236571532812727,-0.11125558077823715,-0.03135067394622487,,,
Деэм.эмульсия | ASTM D1401,0.07453008614548487,0.027981708196488972,-0.020298650362010687,-0.01853207613878276,0.01113938378128138,-0.04066306034441625,-0.015231681040908577,,,,,,,,,-0.003600360036003604,0.19437108870820233,0.3332154825075468,0.20285620331002552,1.0,0.27455313277597176,0.2701064545383532,0.30078570295558327,0.025780714730906772,-0.00986474339725241,,,0.11353368865431342,,,0.017586242065002693,,,,-0.026474577632099736,0.0023413226231000436,-0.008389608440789616,,,,-0.001275566051188497,-0.018610163622854406,-0.0028408493486752023,-0.011467385457697989,-0.0028444150031457097,-0.0028438471321100083,-0.015625738524919625,-0.0028427548746656514,-0.015045194624614138,,,,-0.0018812222029423592,-0.003595386081982783,,,-0.015404373536453651,-0.015404267289185208,-0.004103607935672495,-0.0036003600360035577,-0.003862137479805008,,,,,,,,,,,,,,,,,,,,,,,,-0.09983934011237741,,-0.003600360036003606,,,,,,,,-0.00408424244629254,-0.0012709191743698132,-0.022672208620197136,-0.006388794297963178,,,
"Динамическая вязкость CCS -15°C, ASTM D5293",0.13955904701208385,0.10782217511433308,-0.0738704919356865,-0.06527154749351943,0.10308000797516606,-0.14581272510916055,-0.010145623917389464,,,,,,,,,0.0822559587438765,0.44741131592700767,0.4277005776270094,0.4593797370696433,0.27455313277597176,1.0,0.9657504952553425,0.8628380676874916,0.5959755313625099,0.2988217678359521,,,0.5158193423055737,,,0.1035245767170686,,,,-0.11553680854833032,0.0052276265402552485,-0.03635250053855839,,,,-0.005527077442297384,-0.08064396555107903,-0.012309511010737571,-0.050244239509858284,-0.012324961130606087,-0.012322500523263362,-0.06769892656957989,-0.012317767729163012,-0.06519291713969597,,,,-0.008151409166263,-0.015578948100383664,,,0.021317966079837193,0.021309875127916763,0.14009940777835583,0.07937565541703967,0.0896635091453424,,,,,,,,,,,,,,,,,,,,,,,,-0.42650253769104973,,0.08225595874387655,,,,,,,,-0.01769718179058146,-0.005506942343830549,-0.0982395640860729,-0.02768289483312102,,,
"Динамическая вязкость CCS -20°C, ASTM D5293",0.14088957155138526,0.10509491431931603,-0.07267771347101876,-0.05990488865284616,0.11629131484278638,-0.13564413664218197,-0.0067591402381198245,,,,,,,,,0.06102898733132941,0.39886037555674886,0.3952933530600553,0.41062891409177676,0.2701064545383532,0.9657504952553425,1.0,0.8966096669132186,0.6423199467734337,0.2958552068513058,,,0.47647016222978206,,,0.08043076773827874,,,,-0.12129974581716602,0.005498034390352503,-0.03818555379012267,,,,-0.0058057770400459195,-0.08471236398199401,-0.012930210793396676,-0.052990882635381056,-0.012946439976384384,-0.012943855294377702,-0.07111559914810751,-0.012938883851945365,-0.06848094601257786,,,,-0.008562439132721535,-0.016364507306718585,,,0.015633834760641296,0.015629212026478566,0.1254238953580321,0.06537625449993738,0.07484955271341033,,,,,,,,,,,,,,,,,,,,,,,,-0.381530447276074,,0.06102898733132945,,,,,,,,-0.01858955167282214,-0.005784626641196243,-0.10319323576511466,-0.02907878836547201,,,
"Динамическая вязкость CCS -25°C, ASTM D5293",0.11888656543331548,0.1019994809575827,-0.07061110421976145,-0.0569554132828428,0.11626223859308026,-0.12959274110372496,-0.000621031024961744,,,,,,,,,0.058808177122455986,0.3738625992838413,0.37423821675866376,0.3854320327096276,0.30078570295558327,0.8628380676874916,0.8966096669132186,1.0,0.7285121021759529,0.32699854861951333,,,0.45855070692000177,,,0.08359037406626105,,,,-0.11675229747258477,0.0040213517656235405,-0.03668363904454254,,,,-0.005577424134810631,-0.08138063652207819,-0.01242163955829559,-0.051070479443410484,-0.012437230414826982,-0.012434747393569817,-0.06831973375829443,-0.012429971487981988,-0.06578716689766173,,,,-0.008225661154791824,-0.015720858272238212,,,0.017874748011539793,0.017870233186388865,0.14289444925273886,0.07754057687580927,0.08796649793648138,,,,,,,,,,,,,,,,,,,,,,,,-0.35634092799526096,,0.058808177122455986,,,,,,,,-0.017858387161641225,-0.005557105623749682,-0.09913443794613966,-0.02793506104728934,,,
"Динамическая вязкость CCS -30°C, ASTM D5293",0.08912644618525911,0.04462452161664199,-0.03560482082522108,-0.01996422543191481,0.08416468340171143,-0.05722242785080818,0.017652213280539165,,,,,,,,,0.06699887757869608,0.3004638820567642,0.21714761158702942,0.30756684086220226,0.025780714730906772,0.5959755313625099,0.6423199467734337,0.7285121021759529,1.0,0.41286566126329755,,,0.43338049223651115,,,0.09720287154651502,,,,-0.12966644513777922,-0.0018519713203662797,-0.04050506245031666,,,,-0.006158437897017144,-0.08985788330767487,-0.013715631795230738,-0.05704169880250085,-0.013732846788996344,-0.01373010510540911,-0.07543662634129812,-0.013724831682184838,-0.07264064014627039,,,,-0.009082548172645245,-0.01735853810240573,,,-0.020502036746536053,-0.02050832504996909,0.13733460611824172,0.10778017975064733,0.10755680146209076,,,,,,,,,,,,,,,,,,,,,,,,-0.3377957197847864,,0.06699887757869598,,,,,,,,-0.019718738546246513,0.003179344270819478,-0.10946151212287754,-0.03084512392295512,,,
"Динамическая вязкость CCS -35°C, ASTM D5293",0.035674905797952544,0.07168459590857082,-0.047938952969785766,-0.041579671318692266,0.08028048654316813,-0.04903047501732654,0.08057335224634446,,,,,,,,,-0.009864743397252431,0.3261517873316629,0.1792647395260822,0.33445275875601993,-0.00986474339725241,0.2988217678359521,0.2958552068513058,0.32699854861951333,0.41286566126329755,1.0,,,0.30840710607184824,,,0.10517993507658527,,,,-0.07493055291046821,-0.00572376546070207,-0.02298696064954622,,,,-0.0034949648522341462,-0.05099808352550215,-0.0077837353972074665,-0.03268863376060479,-0.007793505049698707,-0.007791949121404307,-0.04281226002331378,-0.0077889564097576285,-0.04122547824947844,,,,-0.005154421813280554,-0.009851115099083787,,,0.016317009200951645,0.016319798778284062,0.2633866841920497,0.2668085020244144,0.2652226604594009,,,,,,,,,,,,,,,,,,,,,,,,-0.19761808569959943,,-0.00986474339725243,,,,,,,,-0.011190548529020015,-0.0034822327235146896,-0.06212032075977507,-0.017504864995999903,,,
"Дипольный момент, Д",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Длина углеродной цепи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Индекс вязкости, ГОСТ 25371",0.11392746507469792,0.15801117233832196,-0.10059111380178712,-0.11923974420168137,0.0024200493939103103,-0.21072370207255423,-0.028208085411192386,,,,,,,,,0.14862997449795584,0.6389432151774352,0.4497507746367854,0.6363140103979329,0.11353368865431342,0.5158193423055737,0.47647016222978206,0.45855070692000177,0.43338049223651115,0.30840710607184824,,,1.0,,,0.2402437125218323,,,,-0.19953424216948423,-0.022285863399571986,-0.06082958953533251,,,,-0.009248603181735277,-0.13494084512768606,-0.02059782658883697,-0.08684889088779245,-0.02062367967833408,-0.020619562279738633,-0.1132817788870431,-0.02061164277163825,-0.10908839478253324,,,,-0.01363996606484856,-0.02606866114570093,,,0.16538244301325591,0.16538276281467723,0.12929320934752658,0.11428041814034878,0.12388418002401436,,,,,,,,,,,,,,,,,,,,,,,,-0.8052742415904887,,0.14862997449795598,,,,,,,,-0.029613156957700892,0.04983011545034267,-0.16438683091820072,-0.04632251165397576,,,
Индекс полидисперсности,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Индекс стабильности, %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Испаряемость по NOACK, ASTM D5800",0.15907711393486468,0.09957756370944021,-0.0722418754584536,-0.0696162000050462,0.022847012144161773,-0.12806415517078243,0.0007149399816016073,,,,,,,,,-0.014174443708699169,0.27309841314237576,0.1877288630614869,0.2722759770212196,0.017586242065002693,0.1035245767170686,0.08043076773827874,0.08359037406626105,0.09720287154651502,0.10517993507658527,,,0.2402437125218323,,,1.0,,,,-0.11227499038024592,-0.023894403356569727,-0.03302948354965082,,,,-0.005021841984827796,-0.07327433264485726,-0.011184286786603716,-0.04737644672293683,-0.01119832459617602,-0.011196088915313878,-0.06151515570738388,-0.011191788750467781,-0.05923465903761529,,,,-0.0074062810253721694,-0.014154861491761732,,,-0.06064627519935595,-0.060645856908987494,0.07471382851964889,0.0721814078067257,0.07584612438560318,,,,,,,,,,,,,,,,,,,,,,,,-0.30288901669883883,,-0.01417444370869918,,,,,,,,-0.01607946540588581,-0.005003547455050534,-0.0892593911789956,-0.025152374828450966,,,
