scenario_id,Компонент,Наименование партии,"Массовая доля, %",% масс. (Mo),CAS,COC (°C),SMILES для наиболее вероятной (средней) молекулы сульфокислоты,"Активный Азот / Кислород, % масс. (N или O)",Анилиновая точка,Атомное отношение P:Zn,Группа по API,Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Дипольный момент, Д",Длина углеродной цепи,"Индекс вязкости, ГОСТ 25371",Индекс полидисперсности,"Индекс стабильности, %","Испаряемость по NOACK, ASTM D5800",Категория,Кинематическая вязкость,"Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Класс полиамина,Класс субстрата,"Масса гидрофобного хвоста, г/моль",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Модификация,Номер CAS,Номер CAS / SMILES,Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,Отношение S:Mo,Отношение Мыло/Основание,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Потенциал ионизации,эВ",Происхождение,Разветвленность радикала / радикалов,"Размер мицелл, нм","Содержание MgCO3, CaCO3, % масс.",Содержание Азота,Содержание Бора,Содержание ароматики,"Содержание воды, % масс.","Содержание других элементов (например, бора)",Содержание масла,"Содержание масла, % масс.","Содержание металла (Ca/Mg), % масс.","Содержание мыла, % масс.",Содержание насыщ. у/в,Содержание полимера,"Содержание серы, % масс.","Содержание серы, мг/кг",Соотношение мономеров (EO:PO),Средневесовая масса,Степень полисульфидности,"Стерический фактор, Å3",Структура УВ-радикала,"Температура застывания, ГОСТ 20287, метод Б","Температура плавления, °C",Температура проведения теста | -,"Температура разложения, °C",Тип АО,Тип лиганда,Тип полимера,Тип спиртового радикала,Тип сукцинимида,"Химический потенциал, Дж/моль",Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362","Энергия ВЗМО, эВ","Энергия НСМО, эВ","Энергия диссоциации связи Х-Н, ккал/моль"
train_1,Загуститель_2,071.21,90.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_1,Противоизносная_присадка_8,0186.22,99.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74,,,,,,,0.001,,,,,8.049,,9.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,
train_2,Антиоксидант_14,19776.19,95.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_2,Антиоксидант_15,13775.21,95.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_2,Антипенная_присадка_3,б/н,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_2,Базовое_масло_10,0285.21,60.034,,,,,,,,,,,,,,,,,2579,,,,,,,,,,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_2,Базовое_масло_17,без номера,84.281,,,,,,,,,,,,,,13,25,50,99,200,,,,,,90,,,,1.45,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73,,,,,,,,,,,,,,,,
train_2,Базовое_масло_2,0204.22,30.818,,,,,,,,,,38,30,42,0,1224,2308,4797,10565,,,,96,,,12.8,,,,5.4,33,,,,,,0.00089,,0.02478,,,0.00054,,0.00014,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
train_2,Базовое_масло_7,0186.21,99.414,,,,,,,,,,39,40,41,0,6022,12857,25800,,,,,89,,,5.4,,,,9.34,81.15,,,,,,,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_2,Депрессорная_присадка_2,121256,17.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_2,Детергент_1,0174.22,93.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5,,11.2,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.8,,,,
train_2,Детергент_4,,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_2,Дисперсант_9,39202.20,34.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_2,Загуститель_2,071.21,90.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_2,Противоизносная_присадка_8,0186.22,99.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74,,,,,,,0.001,,,,,8.049,,9.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,
train_3,Антиоксидант_1,01028.23,17.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
train_3,Антиоксидант_3,с ЦП 28.02.2024г,14.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_3,Антипенная_присадка_1,3% р-р в МУОБР,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_3,Базовое_масло_1,0766.24,53.037,,,,,,,,,,,,,,535,842,1398,2472,,,,113,,,13.3,,,,4.56,22.94,,,,,,0.0002,,0.00007,,,0.00002,,0.00004,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-26,,,,,,,,,,,,,,,,
train_3,Базовое_масло_1,0766.24,14.811,,,,,,,,,,,,,,535,842,1398,2472,,,,113,,,13.3,,,,4.56,22.94,,,,,,0.0002,,0.00007,,,0.00002,,0.00004,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-26,,,,,,,,,,,,,,,,
train_3,Базовое_масло_14,из ЦП 19.09.23г,84.281,,,,,,,,,,,,,,13,25,50,100,200,,,,,,90,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_3,Базовое_масло_2,0407.24,88.496,,,,,,,,,,39,5,41,0,1206,2249,4651,10139,,,,98,,,13.7,,,,5.38,32.45,,,,,,0.0003,,0.0267,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_3,Базовое_масло_3,0886.24,11.036,,,,,,,,,,,,,,411,626,1004,1695,3071,,,126,,,15,,,,4.48,21.19,,,,,,0.0001,,0.0007,,,0.00002,,0.00007,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-21,,,,,,,,,,,,,,,,
train_3,Базовое_масло_5,0767.24,70.369,,,,,,,,,,,,,,2344,4083,7514,14665,,,,116,,,3.1,,,,8.35,57.8,,,,,,0.00021,,0.00038,,,0.00002,,0.00002,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-22,,,,,,,,,,,,,,,,
train_3,Депрессорная_присадка_1,0800.24,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_3,Детергент_1,03203.23,38.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.91,,,,,,,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,
train_3,Детергент_2,01297.23,80.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47,,,,,,,6.48,,,,,0.0004,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,
train_3,Дисперсант_1,03067.22,33.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7,,,,,,,0.002,,,,,0.002,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,
train_3,Загуститель_1,01076.24 10% в HVI-4,93.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.5,,,,,,,,,,,,,,,,,,,,,,844.7,841.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_3,Противоизносная_присадка_1,01296.23,26.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16,,,,,,,0.02,,,,,8.4,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_4,Антиоксидант_1,01028.23,17.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
train_4,Антиоксидант_3,с ЦП 28.02.2024г,14.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_4,Антипенная_присадка_1,3% р-р в МУОБР,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_4,Базовое_масло_1,0766.24,53.037,,,,,,,,,,,,,,535,842,1398,2472,,,,113,,,13.3,,,,4.56,22.94,,,,,,0.0002,,0.00007,,,0.00002,,0.00004,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-26,,,,,,,,,,,,,,,,
train_4,Базовое_масло_1,0766.24,14.811,,,,,,,,,,,,,,535,842,1398,2472,,,,113,,,13.3,,,,4.56,22.94,,,,,,0.0002,,0.00007,,,0.00002,,0.00004,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-26,,,,,,,,,,,,,,,,
train_4,Базовое_масло_14,из ЦП 19.09.23г,84.281,,,,,,,,,,,,,,13,25,50,100,200,,,,,,90,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_4,Базовое_масло_2,0407.24,16.319,,,,,,,,,,39,5,41,0,1206,2249,4651,10139,,,,98,,,13.7,,,,5.38,32.45,,,,,,0.0003,,0.0267,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_4,Базовое_масло_3,0886.24,11.036,,,,,,,,,,,,,,411,626,1004,1695,3071,,,126,,,15,,,,4.48,21.19,,,,,,0.0001,,0.0007,,,0.00002,,0.00007,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-21,,,,,,,,,,,,,,,,
train_4,Базовое_масло_5,0767.24,70.369,,,,,,,,,,,,,,2344,4083,7514,14665,,,,116,,,3.1,,,,8.35,57.8,,,,,,0.00021,,0.00038,,,0.00002,,0.00002,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-22,,,,,,,,,,,,,,,,
train_4,Депрессорная_присадка_1,0800.24,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_4,Детергент_1,03203.23,38.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.91,,,,,,,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,
train_4,Детергент_2,01297.23,80.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47,,,,,,,6.48,,,,,0.0004,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,
train_4,Дисперсант_1,03067.22,33.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7,,,,,,,0.002,,,,,0.002,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,
train_4,Загуститель_1,01076.24 10% в HVI-4,93.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.5,,,,,,,,,,,,,,,,,,,,,,844.7,841.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_4,Противоизносная_присадка_17,01077.24 Arkema,38.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,,,,,,0.0064,,18.47,,,8.706,,9.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_5,Антиоксидант_1,01028.23,17.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
train_5,Антиоксидант_3,с ЦП 28.02.2024г,14.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_5,Антипенная_присадка_1,3% р-р в МУОБР,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_5,Базовое_масло_1,0766.24,53.037,,,,,,,,,,,,,,535,842,1398,2472,,,,113,,,13.3,,,,4.56,22.94,,,,,,0.0002,,0.00007,,,0.00002,,0.00004,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-26,,,,,,,,,,,,,,,,
train_5,Базовое_масло_1,0766.24,14.811,,,,,,,,,,,,,,535,842,1398,2472,,,,113,,,13.3,,,,4.56,22.94,,,,,,0.0002,,0.00007,,,0.00002,,0.00004,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-26,,,,,,,,,,,,,,,,
train_5,Базовое_масло_14,из ЦП 19.09.23г,84.281,,,,,,,,,,,,,,13,25,50,100,200,,,,,,90,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_5,Базовое_масло_2,0407.24,81.129,,,,,,,,,,39,5,41,0,1206,2249,4651,10139,,,,98,,,13.7,,,,5.38,32.45,,,,,,0.0003,,0.0267,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_5,Базовое_масло_3,0886.24,11.036,,,,,,,,,,,,,,411,626,1004,1695,3071,,,126,,,15,,,,4.48,21.19,,,,,,0.0001,,0.0007,,,0.00002,,0.00007,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-21,,,,,,,,,,,,,,,,
train_5,Базовое_масло_5,0767.24,70.369,,,,,,,,,,,,,,2344,4083,7514,14665,,,,116,,,3.1,,,,8.35,57.8,,,,,,0.00021,,0.00038,,,0.00002,,0.00002,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-22,,,,,,,,,,,,,,,,
train_5,Депрессорная_присадка_1,0800.24,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_5,Детергент_1,03203.23,38.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.91,,,,,,,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,
train_5,Детергент_2,01297.23,80.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47,,,,,,,6.48,,,,,0.0004,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,
train_5,Дисперсант_1,03067.22,33.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7,,,,,,,0.002,,,,,0.002,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,
train_5,Загуститель_1,01076.24 10% в HVI-4,93.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.5,,,,,,,,,,,,,,,,,,,,,,844.7,841.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_5,Противоизносная_присадка_17,01078.24 Celanese,51.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,,,,,,0.007,,18.24,,,8.784,,8.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_6,Антиоксидант_1,01028.23,17.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
train_6,Антиоксидант_3,с ЦП 28.02.2024г,14.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_6,Антипенная_присадка_1,3% р-р в МУОБР,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_6,Базовое_масло_1,0766.24,53.037,,,,,,,,,,,,,,535,842,1398,2472,,,,113,,,13.3,,,,4.56,22.94,,,,,,0.0002,,0.00007,,,0.00002,,0.00004,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-26,,,,,,,,,,,,,,,,
train_6,Базовое_масло_1,0766.24,14.811,,,,,,,,,,,,,,535,842,1398,2472,,,,113,,,13.3,,,,4.56,22.94,,,,,,0.0002,,0.00007,,,0.00002,,0.00004,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-26,,,,,,,,,,,,,,,,
train_6,Базовое_масло_14,из ЦП 19.09.23г,84.281,,,,,,,,,,,,,,13,25,50,100,200,,,,,,90,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_6,Базовое_масло_2,0407.24,78.195,,,,,,,,,,39,5,41,0,1206,2249,4651,10139,,,,98,,,13.7,,,,5.38,32.45,,,,,,0.0003,,0.0267,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_6,Базовое_масло_3,0886.24,11.036,,,,,,,,,,,,,,411,626,1004,1695,3071,,,126,,,15,,,,4.48,21.19,,,,,,0.0001,,0.0007,,,0.00002,,0.00007,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-21,,,,,,,,,,,,,,,,
train_6,Базовое_масло_5,0767.24,70.369,,,,,,,,,,,,,,2344,4083,7514,14665,,,,116,,,3.1,,,,8.35,57.8,,,,,,0.00021,,0.00038,,,0.00002,,0.00002,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-22,,,,,,,,,,,,,,,,
train_6,Депрессорная_присадка_1,0800.24,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_6,Детергент_1,03203.23,38.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.91,,,,,,,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,
train_6,Детергент_2,01297.23,80.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47,,,,,,,6.48,,,,,0.0004,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,
