Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя
Антиоксидант_1,typical,"Щелочное число, ASTM D2896",,0.0
Антиоксидант_1,typical,"Щелочное число, ГОСТ 11362",,0.0
Антиоксидант_1,typical,"Энергия ВЗМО, эВ",,-5.58
Антиоксидант_1,typical,"Энергия НСМО, эВ",,0.035
Антиоксидант_1,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19
Антиоксидант_10,4793.19,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103
Антиоксидант_10,4793.19,"Дипольный момент, Д",,1.66
Антиоксидант_10,4793.19,"Кинематическая вязкость, при 100°C, ASTM D445",,21.67
Антиоксидант_10,4793.19,"Массовая доля кальция, ASTM D6481",,0.253
Антиоксидант_10,4793.19,"Массовая доля сульфатной золы, ГОСТ 12417",,8.64
Антиоксидант_10,4793.19,"Массовая доля фосфора, ASTM D6481",,0.432
Антиоксидант_10,4793.19,"Массовая доля цинка, ASTM D6481",,0.0278
Антиоксидант_10,4793.19,"Потенциал ионизации,эВ",,7.18
Антиоксидант_10,4793.19,"Стерический фактор, Å3",,62.4
Антиоксидант_10,4793.19,"Температура плавления, °C",,-31.0
Антиоксидант_10,4793.19,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_10,4793.19,"Щелочное число, ASTM D2896",,8.53
Антиоксидант_10,4793.19,"Щелочное число, ГОСТ 11362",,5.26
Антиоксидант_10,4793.19,"Энергия ВЗМО, эВ",,-5.26
Антиоксидант_10,4793.19,"Энергия НСМО, эВ",,-0.22
Антиоксидант_10,4793.19,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19
Антиоксидант_11,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103
Антиоксидант_11,typical,"Дипольный момент, Д",,1.66
Антиоксидант_11,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,8.5
Антиоксидант_11,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_11,typical,"Стерический фактор, Å3",,62.4
Антиоксидант_11,typical,"Температура плавления, °C",,-31.0
Антиоксидант_11,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_11,typical,"Энергия ВЗМО, эВ",,-5.58
Антиоксидант_11,typical,"Энергия НСМО, эВ",,0.035
Антиоксидант_11,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19
Антиоксидант_12,02670.23,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_12,02670.23,"Дипольный момент, Д",,3.16
Антиоксидант_12,02670.23,"Кинематическая вязкость, при 100°C, ASTM D445",,5.73
Антиоксидант_12,02670.23,Общее содержание азота | ASTM D3228,,8.666
Антиоксидант_12,02670.23,"Потенциал ионизации,эВ",,6.01
Антиоксидант_12,02670.23,"Стерический фактор, Å3",,57.8
Антиоксидант_12,02670.23,"Температура плавления, °C",,-31.0
Антиоксидант_12,02670.23,"Химический потенциал, Дж/моль",,-2.16
Антиоксидант_12,02670.23,"Щелочное число, ASTM D2896",,189.9
Антиоксидант_12,02670.23,"Энергия ВЗМО, эВ",,-4.64
Антиоксидант_12,02670.23,"Энергия НСМО, эВ",,-0.09
Антиоксидант_12,02670.23,"Энергия диссоциации связи Х-Н, ккал/моль",,359.82
Антиоксидант_12,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_12,typical,"Дипольный момент, Д",,3.16
Антиоксидант_12,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,5.73
Антиоксидант_12,typical,Общее содержание азота | ASTM D3228,,8.666
Антиоксидант_12,typical,"Потенциал ионизации,эВ",,6.01
Антиоксидант_12,typical,"Стерический фактор, Å3",,57.8
Антиоксидант_12,typical,"Температура плавления, °C",,-31.0
Антиоксидант_12,typical,"Химический потенциал, Дж/моль",,-2.16
Антиоксидант_12,typical,"Щелочное число, ASTM D2896",,189.9
Антиоксидант_12,typical,"Энергия ВЗМО, эВ",,-4.64
Антиоксидант_12,typical,"Энергия НСМО, эВ",,-0.09
Антиоксидант_12,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,359.82
Антиоксидант_13,typical,"Активный Азот / Кислород, % масс. (N или O)",,9.4
Антиоксидант_13,typical,"Дипольный момент, Д",,3.99
Антиоксидант_13,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,8.5
Антиоксидант_13,typical,"Потенциал ионизации,эВ",,6.72
Антиоксидант_13,typical,"Стерический фактор, Å3",,64.5
Антиоксидант_13,typical,"Температура плавления, °C",,128.0
Антиоксидант_13,typical,"Химический потенциал, Дж/моль",,-2.78
Антиоксидант_13,typical,"Энергия ВЗМО, эВ",,-5.44
Антиоксидант_13,typical,"Энергия НСМО, эВ",,-0.33
Антиоксидант_13,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,368.87
Антиоксидант_14,19776.19,"Активный Азот / Кислород, % масс. (N или O)",,3.5
Антиоксидант_14,19776.19,"Дипольный момент, Д",,1.36
Антиоксидант_14,19776.19,"Кинематическая вязкость, при 100°C, ASTM D445",,14.06
Антиоксидант_14,19776.19,"Потенциал ионизации,эВ",,6.5
Антиоксидант_14,19776.19,"Стерический фактор, Å3",,72.1
Антиоксидант_14,19776.19,"Температура плавления, °C",,-31.0
Антиоксидант_14,19776.19,"Химический потенциал, Дж/моль",,-2.56
Антиоксидант_14,19776.19,"Щелочное число, ASTM D2896",,0.0
Антиоксидант_14,19776.19,"Энергия ВЗМО, эВ",,-5.15
Антиоксидант_14,19776.19,"Энергия НСМО, эВ",,-0.34
Антиоксидант_14,19776.19,"Энергия диссоциации связи Х-Н, ккал/моль",,372.38
Антиоксидант_14,typical,"Активный Азот / Кислород, % масс. (N или O)",,3.5
Антиоксидант_14,typical,"Дипольный момент, Д",,1.36
Антиоксидант_14,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,14.06
Антиоксидант_14,typical,"Потенциал ионизации,эВ",,6.5
Антиоксидант_14,typical,"Стерический фактор, Å3",,72.1
Антиоксидант_14,typical,"Температура плавления, °C",,-31.0
Антиоксидант_14,typical,"Химический потенциал, Дж/моль",,-2.56
Антиоксидант_14,typical,"Щелочное число, ASTM D2896",,0.0
Антиоксидант_14,typical,"Энергия ВЗМО, эВ",,-5.15
Антиоксидант_14,typical,"Энергия НСМО, эВ",,-0.34
Антиоксидант_14,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,372.38
Антиоксидант_15,typical,"Активный Азот / Кислород, % масс. (N или O)",,7.26
Антиоксидант_15,typical,"Дипольный момент, Д",,1.25
Антиоксидант_15,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,8.5
Антиоксидант_15,typical,"Потенциал ионизации,эВ",,7.06
Антиоксидант_15,typical,"Стерический фактор, Å3",,62.4
Антиоксидант_15,typical,"Температура плавления, °C",,70.0
Антиоксидант_15,typical,"Химический потенциал, Дж/моль",,-2.95
Антиоксидант_15,typical,"Щелочное число, ASTM D2896",,0.0
Антиоксидант_15,typical,"Энергия ВЗМО, эВ",,-6.09
Антиоксидант_15,typical,"Энергия НСМО, эВ",,-0.03
Антиоксидант_15,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,359.56
Антиоксидант_2,01623.24,"Активный Азот / Кислород, % масс. (N или O)",,3.5
Антиоксидант_2,01623.24,"Дипольный момент, Д",,1.36
Антиоксидант_2,01623.24,"Кинематическая вязкость, при 100°C, ASTM D445",,14.54
Антиоксидант_2,01623.24,"Потенциал ионизации,эВ",,6.5
Антиоксидант_2,01623.24,"Стерический фактор, Å3",,72.1
Антиоксидант_2,01623.24,"Температура плавления, °C",,-31.0
Антиоксидант_2,01623.24,"Химический потенциал, Дж/моль",,-2.56
Антиоксидант_2,01623.24,"Щелочное число, ASTM D2896",,138.8
Антиоксидант_2,01623.24,"Энергия ВЗМО, эВ",,-5.15
Антиоксидант_2,01623.24,"Энергия НСМО, эВ",,-0.34
Антиоксидант_2,01623.24,"Энергия диссоциации связи Х-Н, ккал/моль",,372.38
Антиоксидант_2,typical,"Активный Азот / Кислород, % масс. (N или O)",,3.5
Антиоксидант_2,typical,"Дипольный момент, Д",,1.36
Антиоксидант_2,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,14.54
Антиоксидант_2,typical,"Потенциал ионизации,эВ",,6.5
Антиоксидант_2,typical,"Стерический фактор, Å3",,72.1
Антиоксидант_2,typical,"Температура плавления, °C",,-31.0
Антиоксидант_2,typical,"Химический потенциал, Дж/моль",,-2.56
Антиоксидант_2,typical,"Щелочное число, ASTM D2896",,138.8
Антиоксидант_2,typical,"Энергия ВЗМО, эВ",,-5.15
Антиоксидант_2,typical,"Энергия НСМО, эВ",,-0.34
Антиоксидант_2,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,372.38
Антиоксидант_3,01029/23,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_3,01029/23,"Дипольный момент, Д",,0.54
Антиоксидант_3,01029/23,"Кинематическая вязкость, при 100°C, ASTM D445",,10.51
Антиоксидант_3,01029/23,"Массовая доля кальция, ASTM D6481",,0.0002
Антиоксидант_3,01029/23,"Массовая доля серы, ASTM D6481",,0.0002
Антиоксидант_3,01029/23,"Массовая доля фосфора, ASTM D6481",,0.0002
Антиоксидант_3,01029/23,"Массовая доля цинка, ASTM D6481",,0.0002
Антиоксидант_3,01029/23,"Потенциал ионизации,эВ",,7.18
Антиоксидант_3,01029/23,"Стерический фактор, Å3",,57.7
Антиоксидант_3,01029/23,"Температура плавления, °C",,-31.0
Антиоксидант_3,01029/23,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_3,01029/23,"Щелочное число, ASTM D2896",,177.1
Антиоксидант_3,01029/23,"Энергия ВЗМО, эВ",,-4.98
Антиоксидант_3,01029/23,"Энергия НСМО, эВ",,-0.22
Антиоксидант_3,01029/23,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94
Антиоксидант_3,01198.23,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_3,01198.23,"Дипольный момент, Д",,0.54
Антиоксидант_3,01198.23,"Кинематическая вязкость, при 100°C, ASTM D445",,11.04
Антиоксидант_3,01198.23,"Массовая доля кальция, ASTM D6481",,0.0002
Антиоксидант_3,01198.23,"Массовая доля серы, ASTM D6481",,0.0002
Антиоксидант_3,01198.23,"Массовая доля фосфора, ASTM D6481",,0.0002
Антиоксидант_3,01198.23,"Массовая доля цинка, ASTM D6481",,0.0002
Антиоксидант_3,01198.23,"Потенциал ионизации,эВ",,7.18
Антиоксидант_3,01198.23,"Стерический фактор, Å3",,57.7
Антиоксидант_3,01198.23,"Температура плавления, °C",,-31.0
Антиоксидант_3,01198.23,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_3,01198.23,"Щелочное число, ASTM D2896",,176.3
Антиоксидант_3,01198.23,"Энергия ВЗМО, эВ",,-4.98
Антиоксидант_3,01198.23,"Энергия НСМО, эВ",,-0.22
Антиоксидант_3,01198.23,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94
Антиоксидант_3,02719.22,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_3,02719.22,"Дипольный момент, Д",,0.54
Антиоксидант_3,02719.22,"Кинематическая вязкость, при 100°C, ASTM D445",,11.7
Антиоксидант_3,02719.22,"Массовая доля кальция, ASTM D6481",,0.0002
Антиоксидант_3,02719.22,"Массовая доля серы, ASTM D6481",,0.0002
Антиоксидант_3,02719.22,"Массовая доля фосфора, ASTM D6481",,0.0002
Антиоксидант_3,02719.22,"Массовая доля цинка, ASTM D6481",,0.0002
Антиоксидант_3,02719.22,"Потенциал ионизации,эВ",,7.18
Антиоксидант_3,02719.22,"Стерический фактор, Å3",,57.7
Антиоксидант_3,02719.22,"Температура плавления, °C",,-31.0
Антиоксидант_3,02719.22,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_3,02719.22,"Щелочное число, ASTM D2896",,166.7
Антиоксидант_3,02719.22,"Энергия ВЗМО, эВ",,-4.98
Антиоксидант_3,02719.22,"Энергия НСМО, эВ",,-0.22
Антиоксидант_3,02719.22,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94
Антиоксидант_3,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_3,typical,"Дипольный момент, Д",,0.54
Антиоксидант_3,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,11.083333333333334
Антиоксидант_3,typical,"Массовая доля кальция, ASTM D6481",,0.0002
Антиоксидант_3,typical,"Массовая доля серы, ASTM D6481",,0.0002
Антиоксидант_3,typical,"Массовая доля фосфора, ASTM D6481",,0.0002
Антиоксидант_3,typical,"Массовая доля цинка, ASTM D6481",,0.0002
Антиоксидант_3,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_3,typical,"Стерический фактор, Å3",,57.7
Антиоксидант_3,typical,"Температура плавления, °C",,-31.0
Антиоксидант_3,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_3,typical,"Щелочное число, ASTM D2896",,173.36666666666665
Антиоксидант_3,typical,"Энергия ВЗМО, эВ",,-4.98
Антиоксидант_3,typical,"Энергия НСМО, эВ",,-0.22
Антиоксидант_3,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94
Антиоксидант_4,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_4,typical,"Дипольный момент, Д",,0.54
Антиоксидант_4,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_4,typical,"Стерический фактор, Å3",,57.7
Антиоксидант_4,typical,"Температура плавления, °C",,-31.0
Антиоксидант_4,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_4,typical,"Щелочное число, ASTM D2896",,0.0
Антиоксидант_4,typical,"Энергия ВЗМО, эВ",,-4.98
Антиоксидант_4,typical,"Энергия НСМО, эВ",,-0.22
Антиоксидант_4,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94
Антиоксидант_6,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103
Антиоксидант_6,typical,"Дипольный момент, Д",,2.58
Антиоксидант_6,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,9.5
Антиоксидант_6,typical,"Потенциал ионизации,эВ",,7.2
Антиоксидант_6,typical,"Стерический фактор, Å3",,62.4
Антиоксидант_6,typical,"Температура плавления, °C",,-31.0
Антиоксидант_6,typical,"Химический потенциал, Дж/моль",,-2.84
Антиоксидант_6,typical,"Щелочное число, ASTM D2896",,0.0
Антиоксидант_6,typical,"Энергия ВЗМО, эВ",,-5.73
Антиоксидант_6,typical,"Энергия НСМО, эВ",,-0.05
Антиоксидант_6,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,362.92
Антиоксидант_7,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_7,typical,"Дипольный момент, Д",,0.54
Антиоксидант_7,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,10.51
Антиоксидант_7,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_7,typical,"Стерический фактор, Å3",,57.7
Антиоксидант_7,typical,"Температура плавления, °C",,-31.0
Антиоксидант_7,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_7,typical,"Щелочное число, ASTM D2896",,0.0
Антиоксидант_7,typical,"Энергия ВЗМО, эВ",,-4.98
Антиоксидант_7,typical,"Энергия НСМО, эВ",,-0.22
Антиоксидант_7,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94
Антиоксидант_8,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103
Антиоксидант_8,typical,"Дипольный момент, Д",,1.66
Антиоксидант_8,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_8,typical,"Стерический фактор, Å3",,62.4
Антиоксидант_8,typical,"Температура плавления, °C",,-31.0
Антиоксидант_8,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_8,typical,"Щелочное число, ASTM D2896",,0.0
Антиоксидант_8,typical,"Энергия ВЗМО, эВ",,-5.58
Антиоксидант_8,typical,"Энергия НСМО, эВ",,0.035
Антиоксидант_8,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19
Антиоксидант_9,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_9,typical,"Дипольный момент, Д",,0.54
Антиоксидант_9,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,8.5
Антиоксидант_9,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_9,typical,"Стерический фактор, Å3",,57.7
Антиоксидант_9,typical,"Температура плавления, °C",,-31.0
Антиоксидант_9,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_9,typical,"Щелочное число, ASTM D2896",,0.0
Антиоксидант_9,typical,"Энергия ВЗМО, эВ",,-4.98
Антиоксидант_9,typical,"Энергия НСМО, эВ",,-0.22
Антиоксидант_9,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94
Антипенная_присадка_3,б/н,"Массовая доля кальция, ASTM D6481",,0.0
Антипенная_присадка_3,б/н,"Массовая доля серы, ASTM D6481",,0.0
Антипенная_присадка_3,б/н,"Массовая доля фосфора, ASTM D6481",,0.0
Антипенная_присадка_3,б/н,"Массовая доля цинка, ASTM D6481",,0.0
Базовое_масло_1,01044.23,Анилиновая точка,,68.4
Базовое_масло_1,01044.23,Группа по API,,2.0
Базовое_масло_1,01044.23,Деэм.вода | ASTM D1401,,41.0
Базовое_масло_1,01044.23,Деэм.время | ASTM D1401,,30.0
Базовое_масло_1,01044.23,Деэм.масло | ASTM D1401,,39.0
Базовое_масло_1,01044.23,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -15°C, ASTM D5293",,500.0
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -20°C, ASTM D5293",,777.0
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -25°C, ASTM D5293",,1269.0
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -30°C, ASTM D5293",,2253.0
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -35°C, ASTM D5293",,4187.0
Базовое_масло_1,01044.23,"Индекс вязкости, ГОСТ 25371",,113.0
Базовое_масло_1,01044.23,"Испаряемость по NOACK, ASTM D5800",,14.5
Базовое_масло_1,01044.23,"Кинематическая вязкость, при 100°C, ASTM D445",,4.445
Базовое_масло_1,01044.23,"Кинематическая вязкость, при 40°C, ASTM D445",,22.02
Базовое_масло_1,01044.23,"Массовая доля кальция, ASTM D6481",,0.00092
Базовое_масло_1,01044.23,"Массовая доля серы, ASTM D6481",,0.0078
Базовое_масло_1,01044.23,"Массовая доля фосфора, ASTM D6481",,0.0031
Базовое_масло_1,01044.23,"Массовая доля цинка, ASTM D6481",,1e-05
Базовое_масло_1,01044.23,"Плотность при 15°С, ASTM D4052",,843.475
Базовое_масло_1,01044.23,"Плотность при 20°С, ASTM D4052",,840.2500000000001
Базовое_масло_1,01044.23,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_1,01044.23,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_1,01044.23,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_1,01044.23,"Температура застывания, ГОСТ 20287, метод Б",,-22.0
Базовое_масло_1,01044.23,Цвет Сейболт | -,,30.0
Базовое_масло_1,01509.24,Анилиновая точка,,68.4
Базовое_масло_1,01509.24,Группа по API,,2.0
Базовое_масло_1,01509.24,Деэм.вода | ASTM D1401,,40.16666666666666
Базовое_масло_1,01509.24,Деэм.время | ASTM D1401,,5.0
Базовое_масло_1,01509.24,Деэм.масло | ASTM D1401,,39.833333333333336
Базовое_масло_1,01509.24,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_1,01509.24,"Динамическая вязкость CCS -15°C, ASTM D5293",,517.0
Базовое_масло_1,01509.24,"Динамическая вязкость CCS -20°C, ASTM D5293",,863.0
Базовое_масло_1,01509.24,"Динамическая вязкость CCS -25°C, ASTM D5293",,1407.0
Базовое_масло_1,01509.24,"Динамическая вязкость CCS -30°C, ASTM D5293",,2461.0
Базовое_масло_1,01509.24,"Динамическая вязкость CCS -35°C, ASTM D5293",,4719.0
Базовое_масло_1,01509.24,"Индекс вязкости, ГОСТ 25371",,110.0
Базовое_масло_1,01509.24,"Испаряемость по NOACK, ASTM D5800",,14.2
Базовое_масло_1,01509.24,"Кинематическая вязкость, при 100°C, ASTM D445",,4.5
Базовое_масло_1,01509.24,"Кинематическая вязкость, при 40°C, ASTM D445",,22.76
Базовое_масло_1,01509.24,"Массовая доля кальция, ASTM D6481",,0.0002
Базовое_масло_1,01509.24,"Массовая доля серы, ASTM D6481",,0.0003999999999999
Базовое_масло_1,01509.24,"Массовая доля фосфора, ASTM D6481",,0.0001
Базовое_масло_1,01509.24,"Массовая доля цинка, ASTM D6481",,7.857142857142858e-05
Базовое_масло_1,01509.24,"Плотность при 15°С, ASTM D4052",,843.6
Базовое_масло_1,01509.24,"Плотность при 20°С, ASTM D4052",,840.2
Базовое_масло_1,01509.24,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_1,01509.24,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_1,01509.24,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_1,01509.24,"Температура застывания, ГОСТ 20287, метод Б",,-28.0
Базовое_масло_1,01509.24,Цвет Сейболт | -,,30.0
Базовое_масло_1,01595.25,Анилиновая точка,,68.4
Базовое_масло_1,01595.25,Группа по API,,2.0
Базовое_масло_1,01595.25,Деэм.вода | ASTM D1401,,40.16666666666666
Базовое_масло_1,01595.25,Деэм.время | ASTM D1401,,5.0
Базовое_масло_1,01595.25,Деэм.масло | ASTM D1401,,39.833333333333336
Базовое_масло_1,01595.25,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_1,01595.25,"Динамическая вязкость CCS -15°C, ASTM D5293",,508.54545454545456
Базовое_масло_1,01595.25,"Динамическая вязкость CCS -20°C, ASTM D5293",,790.0
Базовое_масло_1,01595.25,"Динамическая вязкость CCS -25°C, ASTM D5293",,1338.0
Базовое_масло_1,01595.25,"Динамическая вязкость CCS -30°C, ASTM D5293",,2348.0
Базовое_масло_1,01595.25,"Динамическая вязкость CCS -35°C, ASTM D5293",,4420.0
Базовое_масло_1,01595.25,"Индекс вязкости, ГОСТ 25371",,113.3846153846154
Базовое_масло_1,01595.25,"Испаряемость по NOACK, ASTM D5800",,14.2
Базовое_масло_1,01595.25,"Кинематическая вязкость, при 100°C, ASTM D445",,4.48
Базовое_масло_1,01595.25,"Кинематическая вязкость, при 40°C, ASTM D445",,22.35
Базовое_масло_1,01595.25,"Массовая доля кальция, ASTM D6481",,0.0002
Базовое_масло_1,01595.25,"Массовая доля серы, ASTM D6481",,0.0003999999999999
Базовое_масло_1,01595.25,"Массовая доля фосфора, ASTM D6481",,0.0001
Базовое_масло_1,01595.25,"Массовая доля цинка, ASTM D6481",,7.857142857142858e-05
Базовое_масло_1,01595.25,"Плотность при 15°С, ASTM D4052",,843.475
Базовое_масло_1,01595.25,"Плотность при 20°С, ASTM D4052",,840.2500000000001
Базовое_масло_1,01595.25,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_1,01595.25,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_1,01595.25,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_1,01595.25,"Температура застывания, ГОСТ 20287, метод Б",,-24.454545454545453
Базовое_масло_1,01595.25,Цвет Сейболт | -,,30.0
Базовое_масло_1,01941.23,Анилиновая точка,,68.4
Базовое_масло_1,01941.23,Группа по API,,2.0
Базовое_масло_1,01941.23,Деэм.вода | ASTM D1401,,41.0
Базовое_масло_1,01941.23,Деэм.время | ASTM D1401,,5.0
Базовое_масло_1,01941.23,Деэм.масло | ASTM D1401,,39.0
Базовое_масло_1,01941.23,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_1,01941.23,"Динамическая вязкость CCS -15°C, ASTM D5293",,524.0
Базовое_масло_1,01941.23,"Динамическая вязкость CCS -20°C, ASTM D5293",,818.0
Базовое_масло_1,01941.23,"Динамическая вязкость CCS -25°C, ASTM D5293",,1235.0
Базовое_масло_1,01941.23,"Динамическая вязкость CCS -30°C, ASTM D5293",,2332.0
Базовое_масло_1,01941.23,"Динамическая вязкость CCS -35°C, ASTM D5293",,4335.0
Базовое_масло_1,01941.23,"Индекс вязкости, ГОСТ 25371",,112.0
Базовое_масло_1,01941.23,"Испаряемость по NOACK, ASTM D5800",,13.5
Базовое_масло_1,01941.23,"Кинематическая вязкость, при 100°C, ASTM D445",,4.5
Базовое_масло_1,01941.23,"Кинематическая вязкость, при 40°C, ASTM D445",,22.52
Базовое_масло_1,01941.23,"Массовая доля кальция, ASTM D6481",,0.0042
Базовое_масло_1,01941.23,"Массовая доля серы, ASTM D6481",,0.0049
Базовое_масло_1,01941.23,"Массовая доля фосфора, ASTM D6481",,0.0055
Базовое_масло_1,01941.23,"Массовая доля цинка, ASTM D6481",,0.0001
Базовое_масло_1,01941.23,"Плотность при 15°С, ASTM D4052",,843.475
Базовое_масло_1,01941.23,"Плотность при 20°С, ASTM D4052",,840.2500000000001
Базовое_масло_1,01941.23,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_1,01941.23,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_1,01941.23,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_1,01941.23,"Температура застывания, ГОСТ 20287, метод Б",,-25.0
