Компонент,Партия,Свойство,Метод,Значение,Причина
Антиоксидант_1,01028.23,"Испаряемость по NOACK, ASTM D5800",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Кинематическая вязкость,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Кинематическая вязкость, при -30⁰С | ASTM D445",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Кинематическая вязкость, при 40°C, ASTM D445",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Кислотное число, ГОСТ 11362",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Масса гидрофобного хвоста, г/моль",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Массовая доля кальция | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Массовая доля кальция, ASTM D6481",skip,,"Свойство не актуально: Антиоксиданты — это органические соединения (например, фенолы или амины), не содержащие кальция; массовая доля кальция является характеристикой кальцийсодержащих присадок (детергентов) и не применима к антиоксидантам."
Антиоксидант_1,01028.23,Массовая доля серы | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Массовая доля серы, ASTM D6481",skip,,"Свойство не актуально: Сера является элементом в составе присадок и базовых масел, а не специфическим параметром для оценки эффективности антиоксидантов; её измерение по ASTM D6481 относится к общей характеристике топлива или масла, а не к функциональному свойству самого антиоксиданта."
Антиоксидант_1,01028.23,"Массовая доля сульфатной золы, ГОСТ 12417",skip,,"Свойство не актуально: Антиоксиданты являются присадками и не содержат сульфатной золы; данный параметр измеряется для готовых масел или базовых масел, а не для индивидуальных присадочных компонентов."
Антиоксидант_1,01028.23,Массовая доля фосфора | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Массовая доля фосфора, ASTM D6481",skip,,"Свойство не актуально: Антиоксиданты — это органические соединения (например, на основе цинка или серы), которые не содержат фосфора; фосфор является ключевым элементом присадки ZDDP (противоизносной добавки), а не антиоксиданта, поэтому измерение массовой доли фосфора для чистого типа антиоксидантов нецелесообразно."
Антиоксидант_1,01028.23,Массовая доля цинка | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Массовая доля цинка, ASTM D6481",skip,,"Свойство не актуально: Антиоксиданты — это органические соединения (например, на основе фосфора или серы), не содержащие цинка; цинк является маркером для противоизносных присадок (ZDDP), поэтому измерение массовой доли цинка для антиоксидантов нецелесообразно."
Антиоксидант_1,01028.23,Общее содержание азота | ASTM D3228,skip,,"Свойство не актуально: Антиоксиданты являются органическими соединениями и не содержат азота в своей структуре; анализ общего содержания азота (ASTM D3228) применяется для оценки уровня загрязнения масла или наличия азотсодержащих присадок, но не является характеристикой самого антиоксиданта."
Антиоксидант_1,01028.23,Определение содержания воды методом Карла Фишера | ASTM D 6304,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Отношение S:Mo,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Отношение Мыло/Основание,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Плотность при 15°С, ASTM D4052",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Плотность при 20°С, ASTM D4052",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Последовательность 1 | ASTM D892,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Последовательность 2 | ASTM D892,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Последовательность 3 | ASTM D892,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Потенциал ионизации,эВ",mean_by_component,7.18,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,01028.23,"Размер мицелл, нм",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Содержание MgCO3, CaCO3, % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Содержание Азота,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Содержание Бора,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Содержание воды, % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Содержание масла,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Содержание масла, % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Содержание металла (Ca/Mg), % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Содержание мыла, % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Содержание полимера,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Содержание серы, % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Содержание серы, мг/кг",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Соотношение мономеров (EO:PO),skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Средневесовая масса,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Степень полисульфидности,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Стерический фактор, Å3",mean_by_component,62.4,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,01028.23,"Температура застывания, ГОСТ 20287, метод Б",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Температура плавления, °C",llm,-31.0,Оценка LLM на основе 7 компонентов типа «Антиоксидант»
Антиоксидант_1,01028.23,Температура проведения теста | -,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Химический потенциал, Дж/моль",mean_by_component,-2.75,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,01028.23,Цвет | ASTM D1500,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Цвет Сейболт | -,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Энергия ВЗМО, эВ",mean_by_component,-5.58,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,01028.23,"Энергия НСМО, эВ",mean_by_component,0.035,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,01028.23,"Энергия диссоциации связи Х-Н, ккал/моль",mean_by_component,355.19,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,02717.22,% масс. (Mo),skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,COC (°C),skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Активный Азот / Кислород, % масс. (N или O)",mean_by_component,4.102564103,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,02717.22,Анилиновая точка,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Атомное отношение P:Zn,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Группа по API,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Деаэрация | ASTM D3427,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Деэм.вода | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Деэм.время | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Деэм.масло | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Деэм.эмульсия | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Динамическая вязкость CCS -15°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Динамическая вязкость CCS -20°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Динамическая вязкость CCS -25°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Динамическая вязкость CCS -30°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Динамическая вязкость CCS -35°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Дипольный момент, Д",mean_by_component,1.66,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,02717.22,Длина углеродной цепи,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Индекс вязкости, ГОСТ 25371",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Индекс полидисперсности,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Индекс стабильности, %",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Испаряемость по NOACK, ASTM D5800",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Кинематическая вязкость,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Кинематическая вязкость, при -30⁰С | ASTM D445",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Кинематическая вязкость, при 40°C, ASTM D445",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Кислотное число, ГОСТ 11362",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Масса гидрофобного хвоста, г/моль",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Массовая доля кальция | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Массовая доля кальция, ASTM D6481",skip,,"Свойство не актуально: Антиоксиданты — это органические соединения (например, фенолы или амины), не содержащие кальция; массовая доля кальция является характеристикой кальцийсодержащих присадок (детергентов) и не применима к антиоксидантам."
Антиоксидант_1,02717.22,Массовая доля серы | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Массовая доля серы, ASTM D6481",skip,,"Свойство не актуально: Сера является элементом в составе присадок и базовых масел, а не специфическим параметром для оценки эффективности антиоксидантов; её измерение по ASTM D6481 относится к общей характеристике топлива или масла, а не к функциональному свойству самого антиоксиданта."
Антиоксидант_1,02717.22,"Массовая доля сульфатной золы, ГОСТ 12417",skip,,"Свойство не актуально: Антиоксиданты являются присадками и не содержат сульфатной золы; данный параметр измеряется для готовых масел или базовых масел, а не для индивидуальных присадочных компонентов."
Антиоксидант_1,02717.22,Массовая доля фосфора | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Массовая доля фосфора, ASTM D6481",skip,,"Свойство не актуально: Антиоксиданты — это органические соединения (например, на основе цинка или серы), которые не содержат фосфора; фосфор является ключевым элементом присадки ZDDP (противоизносной добавки), а не антиоксиданта, поэтому измерение массовой доли фосфора для чистого типа антиоксидантов нецелесообразно."
Антиоксидант_1,02717.22,Массовая доля цинка | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Массовая доля цинка, ASTM D6481",skip,,"Свойство не актуально: Антиоксиданты — это органические соединения (например, на основе фосфора или серы), не содержащие цинка; цинк является маркером для противоизносных присадок (ZDDP), поэтому измерение массовой доли цинка для антиоксидантов нецелесообразно."
Антиоксидант_1,02717.22,Общее содержание азота | ASTM D3228,skip,,"Свойство не актуально: Антиоксиданты являются органическими соединениями и не содержат азота в своей структуре; анализ общего содержания азота (ASTM D3228) применяется для оценки уровня загрязнения масла или наличия азотсодержащих присадок, но не является характеристикой самого антиоксиданта."
Антиоксидант_1,02717.22,Определение содержания воды методом Карла Фишера | ASTM D 6304,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Отношение S:Mo,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Отношение Мыло/Основание,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Плотность при 15°С, ASTM D4052",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Плотность при 20°С, ASTM D4052",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Последовательность 1 | ASTM D892,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Последовательность 2 | ASTM D892,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Последовательность 3 | ASTM D892,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Потенциал ионизации,эВ",mean_by_component,7.18,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,02717.22,"Размер мицелл, нм",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Содержание MgCO3, CaCO3, % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Содержание Азота,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Содержание Бора,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Содержание воды, % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Содержание масла,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Содержание масла, % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Содержание металла (Ca/Mg), % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Содержание мыла, % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Содержание полимера,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Содержание серы, % масс.",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Содержание серы, мг/кг",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Соотношение мономеров (EO:PO),skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Средневесовая масса,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Степень полисульфидности,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Стерический фактор, Å3",mean_by_component,62.4,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,02717.22,"Температура застывания, ГОСТ 20287, метод Б",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Температура плавления, °C",llm,-31.0,Оценка LLM на основе 8 компонентов типа «Антиоксидант»
Антиоксидант_1,02717.22,Температура проведения теста | -,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Химический потенциал, Дж/моль",mean_by_component,-2.75,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,02717.22,Цвет | ASTM D1500,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,Цвет Сейболт | -,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,02717.22,"Щелочное число, ASTM D2896",mean_by_component,0.0,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,02717.22,"Щелочное число, ГОСТ 11362",mean_by_component,0.0,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,02717.22,"Энергия ВЗМО, эВ",mean_by_component,-5.58,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,02717.22,"Энергия НСМО, эВ",mean_by_component,0.035,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,02717.22,"Энергия диссоциации связи Х-Н, ккал/моль",mean_by_component,355.19,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,typical,% масс. (Mo),skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,COC (°C),skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Анилиновая точка,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Атомное отношение P:Zn,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Группа по API,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Деаэрация | ASTM D3427,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Деэм.вода | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Деэм.время | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Деэм.масло | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Деэм.эмульсия | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Динамическая вязкость CCS -15°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Динамическая вязкость CCS -20°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Динамическая вязкость CCS -25°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Динамическая вязкость CCS -30°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Динамическая вязкость CCS -35°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Длина углеродной цепи,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Индекс вязкости, ГОСТ 25371",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Индекс полидисперсности,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Индекс стабильности, %",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Испаряемость по NOACK, ASTM D5800",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Кинематическая вязкость,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Кинематическая вязкость, при -30⁰С | ASTM D445",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Кинематическая вязкость, при 100°C, ASTM D445",mean_by_component,6.725,На основе 2 партий компонента «Антиоксидант_1» (CV=1.1%)
Антиоксидант_1,typical,"Кинематическая вязкость, при 40°C, ASTM D445",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Кислотное число, ГОСТ 11362",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Масса гидрофобного хвоста, г/моль",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,Массовая доля кальция | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Массовая доля кальция, ASTM D6481",skip,,"Свойство не актуально: Антиоксиданты — это органические соединения (например, фенолы или амины), не содержащие кальция; массовая доля кальция является характеристикой кальцийсодержащих присадок (детергентов) и не применима к антиоксидантам."
Антиоксидант_1,typical,Массовая доля серы | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Массовая доля серы, ASTM D6481",skip,,"Свойство не актуально: Сера является элементом в составе присадок и базовых масел, а не специфическим параметром для оценки эффективности антиоксидантов; её измерение по ASTM D6481 относится к общей характеристике топлива или масла, а не к функциональному свойству самого антиоксиданта."
Антиоксидант_1,typical,"Массовая доля сульфатной золы, ГОСТ 12417",skip,,"Свойство не актуально: Антиоксиданты являются присадками и не содержат сульфатной золы; данный параметр измеряется для готовых масел или базовых масел, а не для индивидуальных присадочных компонентов."
Антиоксидант_1,typical,Массовая доля фосфора | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Массовая доля фосфора, ASTM D6481",skip,,"Свойство не актуально: Антиоксиданты — это органические соединения (например, на основе цинка или серы), которые не содержат фосфора; фосфор является ключевым элементом присадки ZDDP (противоизносной добавки), а не антиоксиданта, поэтому измерение массовой доли фосфора для чистого типа антиоксидантов нецелесообразно."
Антиоксидант_1,typical,Массовая доля цинка | ASTM D6481,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,typical,"Массовая доля цинка, ASTM D6481",skip,,"Свойство не актуально: Антиоксиданты — это органические соединения (например, на основе фосфора или серы), не содержащие цинка; цинк является маркером для противоизносных присадок (ZDDP), поэтому измерение массовой доли цинка для антиоксидантов нецелесообразно."
Антиоксидант_1,typical,Общее содержание азота | ASTM D3228,skip,,"Свойство не актуально: Антиоксиданты являются органическими соединениями и не содержат азота в своей структуре; анализ общего содержания азота (ASTM D3228) применяется для оценки уровня загрязнения масла или наличия азотсодержащих присадок, но не является характеристикой самого антиоксиданта."
Антиоксидант_1,typical,Определение содержания воды методом Карла Фишера | ASTM D 6304,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
