Компонент,Наименование партии,% масс. (Mo),COC (°C),"Активный Азот / Кислород, % масс. (N или O)",Анилиновая точка,Атомное отношение P:Zn,Группа по API,Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Дипольный момент, Д",Длина углеродной цепи,"Индекс вязкости, ГОСТ 25371",Индекс полидисперсности,"Индекс стабильности, %","Испаряемость по NOACK, ASTM D5800",Кинематическая вязкость,"Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362","Масса гидрофобного хвоста, г/моль",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,Отношение S:Mo,Отношение Мыло/Основание,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Потенциал ионизации,эВ","Размер мицелл, нм","Содержание MgCO3, CaCO3, % масс.",Содержание Азота,Содержание Бора,"Содержание воды, % масс.",Содержание масла,"Содержание масла, % масс.","Содержание металла (Ca/Mg), % масс.","Содержание мыла, % масс.",Содержание полимера,"Содержание серы, % масс.","Содержание серы, мг/кг",Соотношение мономеров (EO:PO),Средневесовая масса,Степень полисульфидности,"Стерический фактор, Å3","Температура застывания, ГОСТ 20287, метод Б","Температура плавления, °C",Температура проведения теста | -,"Химический потенциал, Дж/моль",Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362","Энергия ВЗМО, эВ","Энергия НСМО, эВ","Энергия диссоциации связи Х-Н, ккал/моль"
Антиоксидант_15,typical,,,7.26,,,,,,,,,,,,,,1.25,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,7.06,,,,,,,,,,,,,,,,62.4,,70.0,,-2.95,,,0.0,,-6.09,-0.03,359.56
Антиоксидант_2,01623.24,,,3.5,,,,,,,,,,,,,,1.36,,,,,,,,14.54,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,72.1,,-31.0,,-2.56,,,138.8,,-5.15,-0.34,372.38
Антиоксидант_2,typical,,,3.5,,,,,,,,,,,,,,1.36,,,,,,,,14.54,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,72.1,,-31.0,,-2.56,,,138.8,,-5.15,-0.34,372.38
Антиоксидант_3,01029/23,,,4.43,,,,,,,,,,,,,,0.54,,,,,,,,10.51,,,,,0.0002,,0.0002,,,0.0002,,0.0002,,,,,,,,,,7.18,,,,,,,,,,,,,,,,57.7,,-31.0,,-2.75,,,177.1,,-4.98,-0.22,361.94
Антиоксидант_3,01198.23,,,4.43,,,,,,,,,,,,,,0.54,,,,,,,,11.04,,,,,0.0002,,0.0002,,,0.0002,,0.0002,,,,,,,,,,7.18,,,,,,,,,,,,,,,,57.7,,-31.0,,-2.75,,,176.3,,-4.98,-0.22,361.94
Антиоксидант_3,02719.22,,,4.43,,,,,,,,,,,,,,0.54,,,,,,,,11.7,,,,,0.0002,,0.0002,,,0.0002,,0.0002,,,,,,,,,,7.18,,,,,,,,,,,,,,,,57.7,,-31.0,,-2.75,,,166.7,,-4.98,-0.22,361.94
Антиоксидант_3,typical,,,4.43,,,,,,,,,,,,,,0.54,,,,,,,,11.083333333333334,,,,,0.0002,,0.0002,,,0.0002,,0.0002,,,,,,,,,,7.18,,,,,,,,,,,,,,,,57.7,,-31.0,,-2.75,,,173.36666666666665,,-4.98,-0.22,361.94
Антиоксидант_4,typical,,,4.43,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,,,,,,,,,,,,,,,,57.7,,-31.0,,-2.75,,,0.0,,-4.98,-0.22,361.94
Антиоксидант_6,typical,,,4.102564103,,,,,,,,,,,,,,2.58,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,62.4,,-31.0,,-2.84,,,0.0,,-5.73,-0.05,362.92
Антиоксидант_7,typical,,,4.43,,,,,,,,,,,,,,0.54,,,,,,,,10.51,,,,,,,,,,,,,,,,,,,,,,7.18,,,,,,,,,,,,,,,,57.7,,-31.0,,-2.75,,,0.0,,-4.98,-0.22,361.94
Антиоксидант_8,typical,,,4.102564103,,,,,,,,,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,,,,,,,,,,,,,,,,62.4,,-31.0,,-2.75,,,0.0,,-5.58,0.035,355.19
Антиоксидант_9,typical,,,4.43,,,,,,,,,,,,,,0.54,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,7.18,,,,,,,,,,,,,,,,57.7,,-31.0,,-2.75,,,0.0,,-4.98,-0.22,361.94
Антипенная_присадка_3,б/н,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_1,01044.23,,,,68.4,,2.0,,41.0,30.0,39.0,0.0,500.0,777.0,1269.0,2253.0,4187.0,,,113.0,,,14.5,,,4.445,22.02,,,,0.00092,,0.0078,,,0.0031,,1e-05,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-22.0,,,,,30.0,,,,,
Базовое_масло_1,01509.24,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,517.0,863.0,1407.0,2461.0,4719.0,,,110.0,,,14.200000000000001,,,4.5,22.76,,,,0.0002,,0.00039999999999999996,,,0.0001,,7.857142857142858e-05,,,,,843.6,840.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-28.0,,,,,30.0,,,,,
Базовое_масло_1,01595.25,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,508.54545454545456,790.0,1338.0,2348.0,4420.0,,,113.38461538461539,,,14.200000000000001,,,4.48,22.35,,,,0.0002,,0.00039999999999999996,,,0.0001,,7.857142857142858e-05,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-24.454545454545453,,,,,30.0,,,,,
Базовое_масло_1,01941.23,,,,68.4,,2.0,,41.0,5.0,39.0,0.0,524.0,818.0,1235.0,2332.0,4335.0,,,112.0,,,13.5,,,4.5,22.52,,,,0.0042,,0.0049,,,0.0055,,0.0001,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-25.0,,,,,30.0,,,,,
Базовое_масло_1,01987.25,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,507.0,809.0,1338.0,2338.0,4319.375,,,115.0,,,14.200000000000001,,,4.51,22.35,,,,0.0002,,0.00039999999999999996,,,0.0001,,7.857142857142858e-05,,,,,843.7,840.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-24.454545454545453,,,,,30.0,,,,,
Базовое_масло_1,02228.25,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,508.54545454545456,800.2666666666667,1311.8,2310.6875,4319.375,,,113.38461538461539,,,14.200000000000001,,,4.444,21.75,,,,0.0002,,0.00039999999999999996,,,0.0001,,7.857142857142858e-05,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-24.454545454545453,,,,,30.0,,,,,
Базовое_масло_1,02375.24,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,491.0,777.0,1321.0,2359.0,4319.375,,,112.0,,,14.200000000000001,,,4.52,22.72,,,,0.0002,,0.00039999999999999996,,,0.0001,,7.857142857142858e-05,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-26.0,,,,,30.0,,,,,
Базовое_масло_1,0248.24,,,,68.4,,2.0,,40.0,5.0,40.0,0.0,530.0,829.0,1373.0,2418.0,4530.0,,,112.0,,,14.2,,,4.51,22.64,,,,0.0002,,0.0009,,,0.0001,,0.0001,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-24.0,,,,,30.0,,,,,
Базовое_масло_1,02509.25,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,477.0,746.0,1233.0,2112.0,4319.375,,,113.38461538461539,,,14.200000000000001,,,4.428,21.61,,,,0.0002,,0.00039999999999999996,,,0.0001,,7.857142857142858e-05,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-24.454545454545453,,,,,30.0,,,,,
Базовое_масло_1,02593.23,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,508.54545454545456,800.2666666666667,1311.8,2303.0,4319.375,,,112.0,,,14.200000000000001,,,4.48,22.36,,,,0.0002,,0.0001,,,0.0001,,7.857142857142858e-05,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-24.454545454545453,,,,,30.0,,,,,
Базовое_масло_1,03004.23,,,,68.4,,2.0,,40.0,5.0,40.0,0.0,518.0,800.0,1321.0,2309.0,4319.375,,,112.0,,,14.0,,,4.46,22.26,,,,0.0003,,0.0002,,,0.0001,,0.0001,,,,,843.475,840.2500000000001,0.0,0.0,50.0,,,,,,,,,,,,,,,,,,-24.0,,,,,30.0,,,,,
Базовое_масло_1,0318.25,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,508.54545454545456,784.0,1294.0,2234.0,4319.375,,,113.38461538461539,,,14.200000000000001,,,4.44,21.8,,,,0.0002,,0.00039999999999999996,,,0.0001,,7.857142857142858e-05,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-24.454545454545453,,,,,30.0,,,,,
Базовое_масло_1,03616.23,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,527.0,827.0,1350.0,2365.0,4319.375,,,111.0,,,15.1,,,4.47,22.4,,,,0.0002,,0.0006,,,0.0001,,0.0001,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-24.0,,,,,30.0,,,,,
Базовое_масло_1,069.23,,,,68.4,,2.0,,40.0,5.0,40.0,0.0,468.0,777.0,1273.0,2243.0,4211.0,,,111.0,,,14.0,,,4.49,22.54,,,,0.0001,,0.0001,,,0.0001,,0.0001,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-23.0,,,,,30.0,,,,,
Базовое_масло_1,0760.25,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,508.54545454545456,781.0,1258.0,2198.0,4047.0,,,113.0,,,14.200000000000001,,,4.43,21.84,,,,0.0002,,0.00039999999999999996,,,0.0001,,7.857142857142858e-05,,,,,843.5,840.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-23.0,,,,,30.0,,,,,
Базовое_масло_1,0766.24,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,535.0,842.0,1398.0,2472.0,4319.375,,,113.0,,,13.3,,,4.56,22.94,,,,0.0002,,7e-05,,,2e-05,,4e-05,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-26.0,,,,,30.0,,,,,
Базовое_масло_1,090.25,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,508.54545454545456,784.0,1269.0,2226.0,4106.0,,,113.38461538461539,,,14.200000000000001,,,4.36,21.29,,,,0.0002,,0.00039999999999999996,,,0.0001,,7.857142857142858e-05,,,,,843.1,839.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-24.454545454545453,,,,,30.0,,,,,
Базовое_масло_1,typical,,,,68.4,,2.0,,40.166666666666664,5.0,39.833333333333336,0.0,508.54545454545456,800.2666666666667,1311.8,2310.6875,4319.375,,,128.0,,,15.0,,,4.39,20.28,,,,0.0002,,0.00039999999999999996,,,0.0001,,7.857142857142858e-05,,,,,843.475,840.2500000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-24.0,,,,,30.0,,,,,
Базовое_масло_10,01667.22,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,496.0,808.0,1348.0,2348.0,4359.0,,,113.0,,,13.4,,,4.55,22.88,,,,0.0012,,0.0001,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,0.2,,,,,-24.0,,,,,30.0,,,,,
Базовое_масло_10,01936.22 (CCS 2700),,,,68.4,,3.0,,40.0,5.0,40.0,0.0,531.0,865.0,1493.0,2674.0,4481.5,,,112.0,,,13.4,,,4.66,23.95,,,,0.0002,,0.0006,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,0.2,,,,,-24.0,,,,,30.0,,,,,
Базовое_масло_10,02597.22,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,463.0,757.0,1182.0,2063.0,3819.0,,,113.0,,,14.7,,,4.38,21.53,,,,3e-05,,2e-05,,,7e-05,,5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,0.2,,,,,-26.0,,,,,30.0,,,,,
Базовое_масло_10,0285.21,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,506.2,823.4,1376.6,2579.0,4481.5,,,112.33333333333333,,,14.200000000000001,,,4.54,22.741500000000002,,,,0.00015,,0.0001,,,7.6e-05,,5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,0.2,,,,,-20.5,,,,,30.0,,,,,
Базовое_масло_10,0285.22,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,524.0,849.0,1463.0,2633.0,15217.0,,,111.0,,,14.7,,,4.61,23.58,,,,3.8e-05,,2e-05,,,9e-05,,1e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,0.2,,,,,0.0,,,,,30.0,,,,,
Базовое_масло_10,0771.22,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,517.0,838.0,1397.0,2488.0,4604.0,,,112.0,,,14.3,,,4.544,22.979,,,,0.00015,,0.00023,,,2e-05,,2e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,0.2,,,,,-23.0,,,,,30.0,,,,,
Базовое_масло_10,typical,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,506.2,823.4,1376.6,2464.1666666666665,4481.5,,,113.0,,,14.7,,,4.5473333333333334,21.53,,,,0.00015,,0.0001,,,7.6e-05,,5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,0.2,,,,,-26.0,,,,,30.0,,,,,
Базовое_масло_11,0879.23,,,,68.4,,1.0,,37.0,5.0,43.0,0.0,1184.0,2242.0,4648.0,10120.0,4319.375,,,100.0,,,14.1,,,5.38,32.25,,,,0.0004,,0.024,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-17.0,,,,,30.0,,,,,
Базовое_масло_11,typical,,,,68.4,,1.0,,37.0,5.0,43.0,0.0,1184.0,2242.0,4648.0,10120.0,4319.375,,,100.0,,,14.1,,,5.38,32.25,,,,0.0004,,0.024,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-17.0,,,,,30.0,,,,,
Базовое_масло_12,02907.23,,,,68.4,,4.0,,40.0,5.0,39.833333333333336,0.0,508.54545454545456,,498.0,766.0,1259.0,,,129.0,,,14.2,,,3.81,16.85,,,,0.0002,,0.00039999999999999996,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-71.0,,,,,30.0,,,,,
Базовое_масло_12,typical,,,,68.4,,4.0,,40.0,5.0,39.833333333333336,0.0,508.54545454545456,,498.0,766.0,1259.0,,,129.0,,,14.2,,,3.81,16.85,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-71.0,,,,,30.0,,,,,
Базовое_масло_13,0934.22,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,1181.0,2011.0,4345.0,6680.0,4319.375,,,116.0,,,4.6,,,6.39,38.55,,,,0.00071,,0.00082,,,0.00016,,4e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,0.2,,,,,-16.0,,,,,30.0,,,,,
Базовое_масло_13,typical,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,1181.0,2011.0,4345.0,6680.0,4319.375,,,116.0,,,4.6,,,6.39,38.55,,,,0.00071,,0.00082,,,0.00016,,4e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,0.2,,,,,-16.0,,,,,30.0,,,,,
Базовое_масло_14,_22.04.2025,,,,68.4,,2.0,,40.0,5.0,39.833333333333336,0.0,13.0,25.0,50.0,100.0,200.0,,,113.0,,,90.0,,,1.02,2.54,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,801.4,798.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-68.0,,,,,30.0,,,,,
Базовое_масло_14,typical,,,,68.4,,2.0,,40.0,5.0,39.833333333333336,0.0,13.0,25.0,50.0,100.0,200.0,,,113.0,,,90.0,,,1.5,2.69,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,801.4,798.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-68.0,,,,,30.0,,,,,
Базовое_масло_14,Р-10 от 13.05.2024,,,,68.4,,2.0,,40.0,5.0,39.833333333333336,0.0,13.0,4.0,2.0,4.0,200.0,,,113.0,,,90.0,,,1.02,5.01,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,801.4,798.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-68.0,,,,,30.0,,,,,
Базовое_масло_14,из ЦП 19.09.23г,,,,68.4,,2.0,,40.0,5.0,39.833333333333336,0.0,13.0,25.0,50.0,100.0,200.0,,,113.0,,,90.0,,,1.0,2.0,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,801.4,798.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-68.0,,,,,30.0,,,,,
Базовое_масло_15,02602.23,,,,68.4,,4.0,,40.0,5.0,39.833333333333336,0.0,508.54545454545456,800.3,1311.8,149.0,286.0,,,98.0,,,14.2,,248.0,2.05,7.001,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-58.0,,,,,30.0,,,,,
Базовое_масло_15,typical,,,,68.4,,4.0,,40.0,5.0,39.833333333333336,0.0,508.54545454545456,800.3,1311.8,149.0,286.0,,,98.0,,,14.2,,248.0,2.05,7.001,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-58.0,,,,,30.0,,,,,
Базовое_масло_16,02959.22,,,,68.4,,2.0,,40.0,5.0,39.833333333333336,0.0,13.0,25.0,50.0,99.5,200.0,,,113.0,,,90.0,,,1.18,2.82,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-40.0,,,,,30.0,,,,,
Базовое_масло_16,067.23,,,,68.4,,2.0,,40.0,5.0,39.833333333333336,0.0,13.0,25.0,50.0,100.0,200.0,,,113.0,,,90.0,,,1.5,2.69,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-54.0,,,,,30.0,,,,,
Базовое_масло_16,25721.17,,,,68.4,,2.0,,40.0,5.0,39.833333333333336,0.0,13.0,25.0,50.0,99.0,200.0,,,113.0,,,90.0,,,1.17,2.84,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-54.0,,,,,30.0,,,,,
Базовое_масло_16,typical,,,,68.4,,2.0,,40.0,5.0,39.833333333333336,0.0,13.0,25.0,50.0,99.5,200.0,,,113.0,,,90.0,,,1.2833333333333332,2.783333333333333,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-68.0,,,,,30.0,,,,,
Базовое_масло_17,typical,,,,68.4,,5.0,,40.0,5.0,39.833333333333336,0.0,13.0,25.0,50.0,99.0,200.0,,,113.0,,,90.0,,,1.45,3.88,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-73.0,,,,,30.0,,,,,
Базовое_масло_17,без номера,,,,68.4,,5.0,,40.0,5.0,39.833333333333336,0.0,13.0,25.0,50.0,99.0,200.0,,,113.0,,,90.0,,,1.45,3.88,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-73.0,,,,,30.0,,,,,
Базовое_масло_2,01009.22,,,,68.4,,1.0,,38.63636363636363,5.0,40.90909090909091,0.0,1220.0,2317.0,4827.0,10684.0,21400.0,,,95.0,,,14.7,,,5.39,33.01,,,,3e-05,,0.0236,,,4e-05,,5e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-18.0,,,,,30.0,,,,,
Базовое_масло_2,01302.22,,,,68.4,,1.0,,40.0,5.0,40.0,0.0,1286.0,2351.0,4925.0,10923.0,22000.0,,,94.0,,,15.6,,,5.37,32.96,,,,3e-05,,0.0289,,,3e-05,,1.2e-05,,,,,870.7,867.2,430.0,30.0,460.0,,,,,,,,,,,,,,,,,,-18.0,,,,,30.0,,,,,
Базовое_масло_2,01510.24,,,,68.4,,1.0,,38.63636363636363,5.0,40.90909090909091,0.0,1165.0,2161.0,4323.0,10238.0,21400.0,,,98.0,,,14.292307692307691,,,5.31,31.81,,,,0.00017,,0.02574,,,4e-05,,5e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-17.0,,,,,30.0,,,,,
